Subject	Predicate	Object	Label	Calibrated Probability
hns	confers resistance to antibiotic	Geneticin	1	0.67184954
fis	confers resistance to antibiotic	Paromomycin	1	0.66586739
dpiA	confers resistance to antibiotic	Paromomycin	1	0.66484624
fis	confers resistance to antibiotic	Hygromycin B	1	0.65921325
fliZ	confers resistance to antibiotic	Norfloxacin	1	0.64344969
dam	confers resistance to antibiotic	Metronidazole	1	0.63619346
rplA	confers resistance to antibiotic	Metronidazole	1	0.62205786
guaB	confers resistance to antibiotic	Cephradine	1	0.62204903
waaP	confers resistance to antibiotic	Spectinomycin	1	0.61999756
hns	confers resistance to antibiotic	Triclosan	1	0.60738175
rfaD	confers resistance to antibiotic	Streptomycin	1	0.60664286
speD	confers resistance to antibiotic	Rifampin	1	0.60577178
dpiA	confers resistance to antibiotic	Troleandomycin	1	0.58642305
purD	confers resistance to antibiotic	Rifampin	1	0.56743348
rfaD	confers resistance to antibiotic	Chloramphenicol	1	0.56267645
recN	confers resistance to antibiotic	Paromomycin	1	0.53951577
nfuA	confers resistance to antibiotic	Kanamycin	1	0.51849896
rfaH	confers resistance to antibiotic	Levofloxacin	1	0.51333413
dpiA	confers resistance to antibiotic	Geneticin	1	0.50921325
gadX	confers resistance to antibiotic	Paromomycin	1	0.50491676
lrp	confers resistance to antibiotic	Paromomycin	1	0.48009413
fur	confers resistance to antibiotic	Geneticin	1	0.45589245
recR	confers resistance to antibiotic	Metronidazole	1	0.44127514
waaC	confers resistance to antibiotic	Chloramphenicol	1	0.42564182
cysB	confers resistance to antibiotic	Novobiocin	1	0.42164977
acrB	confers resistance to antibiotic	Metronidazole	1	0.4011797
cysB	confers resistance to antibiotic	Hygromycin B	1	0.4000101
atpE	confers resistance to antibiotic	Hygromycin B	1	0.39576498
mlc	confers resistance to antibiotic	Troleandomycin	1	0.39568145
dnaK	confers resistance to antibiotic	Triclosan	1	0.3784
galR	confers resistance to antibiotic	Paromomycin	1	0.3581685
gpmM	confers resistance to antibiotic	Streptomycin	1	0.35791592
fur	confers resistance to antibiotic	Triclosan	1	0.33856066
hns	confers resistance to antibiotic	Paromomycin	1	0.335401
lrp	confers resistance to antibiotic	Troleandomycin	1	0.3300799
lrp	confers resistance to antibiotic	Cephradine	1	0.30117003
atpG	confers resistance to antibiotic	Hygromycin B	1	0.29337723
lldP	confers resistance to antibiotic	Ampicillin	1	0.29220968
dam	confers resistance to antibiotic	Triclosan	1	0.29052228
acrA	confers resistance to antibiotic	Spectinomycin	1	0.28254755
hdfR	confers resistance to antibiotic	Paromomycin	1	0.28087136
gadX	confers resistance to antibiotic	Troleandomycin	1	0.27972447
dksA	confers resistance to antibiotic	Chloramphenicol	1	0.27417763
rpoD	confers resistance to antibiotic	Rifampin	1	0.26705136
cpoB	confers resistance to antibiotic	Sisomicin	1	0.26423309
insX	confers resistance to antibiotic	Sisomicin	1	0.26423309
crfC	confers resistance to antibiotic	Sisomicin	1	0.26423309
abpB	confers resistance to antibiotic	Sisomicin	1	0.26423309
abpA	confers resistance to antibiotic	Sisomicin	1	0.26423309
insO-1	confers resistance to antibiotic	Sisomicin	1	0.26423309
sdhE	confers resistance to antibiotic	Sisomicin	1	0.26423309
dgcJ	confers resistance to antibiotic	Sisomicin	1	0.26423309
abpA	confers resistance to antibiotic	Apramycin	1	0.26423309
abpB	confers resistance to antibiotic	Apramycin	1	0.26423309
cpoB	confers resistance to antibiotic	Apramycin	1	0.26423309
insO-1	confers resistance to antibiotic	Apramycin	1	0.26423309
crfC	confers resistance to antibiotic	Apramycin	1	0.26423309
dgcJ	confers resistance to antibiotic	Apramycin	1	0.26423309
insX	confers resistance to antibiotic	Apramycin	1	0.26423309
cysB	confers resistance to antibiotic	Geneticin	1	0.26391323
tatB	confers resistance to antibiotic	Triclosan	1	0.24937342
hfq	confers resistance to antibiotic	Triclosan	1	0.24864011
rfaE	confers resistance to antibiotic	Chloramphenicol	1	0.24237476
lpoB	confers resistance to antibiotic	Ampicillin	1	0.23832721
lpcA	confers resistance to antibiotic	Triclosan	1	0.23660261
rob	confers resistance to antibiotic	Hygromycin B	1	0.2351302
rplA	confers resistance to antibiotic	Triclosan	1	0.23510204
asmA	confers resistance to antibiotic	Triclosan	1	0.21900574
asmA	confers resistance to antibiotic	Vancomycin	1	0.21322344
fur	confers resistance to antibiotic	Paromomycin	1	0.21203677
gadX	confers resistance to antibiotic	Cephradine	1	0.21086433
cadC	confers resistance to antibiotic	Geneticin	1	0.20782613
rfaD	confers resistance to antibiotic	Vancomycin	1	0.20782613
dam	confers resistance to antibiotic	Chloramphenicol	1	0.20761635
ygbK	confers resistance to antibiotic	Cephradine	1	0.20713304
slyA	confers resistance to antibiotic	Troleandomycin	1	0.19776589
ppiB	confers resistance to antibiotic	Triclosan	1	0.195615
iscS	confers resistance to antibiotic	Chloramphenicol	1	0.18874759
hdfR	confers resistance to antibiotic	Geneticin	1	0.18526751
hupA	confers resistance to antibiotic	Cephradine	1	0.18246727
recC	confers resistance to antibiotic	Norfloxacin	1	0.15816514
acrB	confers resistance to antibiotic	Spectinomycin	1	0.15248434
rsmH	confers resistance to antibiotic	Streptomycin	1	0.1311221
cysB	confers resistance to antibiotic	Paromomycin	1	0.12985632
lpxA	confers resistance to antibiotic	Triclosan	1	0.1281822
surA	confers resistance to antibiotic	Spectinomycin	1	0.1281822
gadE	confers resistance to antibiotic	Paromomycin	1	0.12712548
bfr	confers resistance to antibiotic	Cephradine	1	0.11724016
rbsK	confers resistance to antibiotic	Chloramphenicol	1	0.11694164
sdhE	confers resistance to antibiotic	Apramycin	1	0.11375
acrR	confers resistance to antibiotic	Paromomycin	1	0.10543347
gadE	confers resistance to antibiotic	Geneticin	1	0.10282335
gcvT	confers resistance to antibiotic	Cephradine	1	0.10203343
