Subject	Predicate	Object	Label	Calibrated Probability
mltG	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
cecR	confers resistance to antibiotic	Norfloxacin	1	2.30E-05
ldtC	confers resistance to antibiotic	Norfloxacin	1	0
yoaK	confers resistance to antibiotic	Norfloxacin	1	0
selU	confers resistance to antibiotic	Ampicillin	1	0.00E+00
acrA	confers resistance to antibiotic	Ampicillin	1	2.30E-05
ddlB	confers resistance to antibiotic	Ampicillin	1	2.30E-05
ftsK	confers resistance to antibiotic	Ampicillin	1	2.30E-05
tusB	confers resistance to antibiotic	Ampicillin	1	2.30E-05
efeU	confers resistance to antibiotic	Ampicillin	1	0.00E+00
fkpB	confers resistance to antibiotic	Ampicillin	1	0.00271123
pqiC	confers resistance to antibiotic	Ampicillin	1	0
pdeB	confers resistance to antibiotic	Ampicillin	1	0
insN	confers resistance to antibiotic	Ampicillin	1	0.00E+00
glsB	confers resistance to antibiotic	Ampicillin	1	0
rpoB	confers resistance to antibiotic	Ampicillin	1	2.30E-05
ybfI	confers resistance to antibiotic	Ampicillin	1	0.00E+00
trmO	confers resistance to antibiotic	Ampicillin	1	0.00E+00
tcyJ	confers resistance to antibiotic	Ampicillin	1	0.00E+00
ylbI	confers resistance to antibiotic	Ampicillin	1	0.00E+00
hiuH	confers resistance to antibiotic	Ampicillin	1	0
yrdE	confers resistance to antibiotic	Ampicillin	1	0
ybeD	confers resistance to antibiotic	Ampicillin	1	2.30E-05
ubiG	confers resistance to antibiotic	Ampicillin	1	2.30E-05
mgtL	confers resistance to antibiotic	Ampicillin	1	0
ydgU	confers resistance to antibiotic	Ampicillin	1	0.00E+00
ypaB	confers resistance to antibiotic	Ampicillin	1	0.00E+00
lon	confers resistance to antibiotic	Ampicillin	1	2.30E-05
yjjY	confers resistance to antibiotic	Ampicillin	1	2.30E-05
fetA	confers resistance to antibiotic	Ampicillin	1	2.30E-05
radD	confers resistance to antibiotic	Ampicillin	1	0.00E+00
arcC	confers resistance to antibiotic	Ampicillin	1	0.00E+00
barA	confers resistance to antibiotic	Ampicillin	1	2.30E-05
rbsR	confers resistance to antibiotic	Ampicillin	1	2.30E-05
ydcY	confers resistance to antibiotic	Ampicillin	1	2.30E-05
leuS	confers resistance to antibiotic	Ampicillin	1	0.00E+00
ylcI	confers resistance to antibiotic	Ampicillin	1	0
yehH	confers resistance to antibiotic	Ampicillin	1	0.00E+00
pdxI	confers resistance to antibiotic	Ampicillin	1	0.00E+00
rpmF	confers resistance to antibiotic	Ampicillin	1	2.30E-05
guaB	confers resistance to antibiotic	Ampicillin	1	2.30E-05
rpsE	confers resistance to antibiotic	Ampicillin	1	2.30E-05
yjiQ	confers resistance to antibiotic	Ampicillin	1	0.00E+00
lgoR	confers resistance to antibiotic	Ampicillin	1	0
ybgF	confers resistance to antibiotic	Ampicillin	1	2.30E-05
adeQ	confers resistance to antibiotic	Ampicillin	1	0.00E+00
ygeL	confers resistance to antibiotic	Ampicillin	1	0
ldrD	confers resistance to antibiotic	Ampicillin	1	0
ycjU	confers resistance to antibiotic	Ampicillin	1	2.30E-05
yoeD	confers resistance to antibiotic	Ampicillin	1	0
rhmD	confers resistance to antibiotic	Ampicillin	1	0
ykfL	confers resistance to antibiotic	Ampicillin	1	0
insI4	confers resistance to antibiotic	Ampicillin	1	0.00E+00
pmrR	confers resistance to antibiotic	Ampicillin	1	0.00E+00
ettA	confers resistance to antibiotic	Metronidazole	1	2.30E-05
yceQ	confers resistance to antibiotic	Metronidazole	1	0
hemA	confers resistance to antibiotic	Metronidazole	1	2.30E-05
bdm	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ybcN	confers resistance to antibiotic	Metronidazole	1	0.02715846
pncC	confers resistance to antibiotic	Metronidazole	1	0
insD-5	confers resistance to antibiotic	Metronidazole	1	2.30E-05
xapR	confers resistance to antibiotic	Metronidazole	1	0.02828256
yncL	confers resistance to antibiotic	Metronidazole	1	0
insJ	confers resistance to antibiotic	Metronidazole	1	0
proV	confers resistance to antibiotic	Metronidazole	1	2.30E-05
mtnN	confers resistance to antibiotic	Metronidazole	1	0
sdhE	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ftsZ	confers resistance to antibiotic	Metronidazole	1	2.30E-05
minE	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ralR	confers resistance to antibiotic	Metronidazole	1	2.30E-05
insH-9	confers resistance to antibiotic	Metronidazole	1	2.30E-05
mukF	confers resistance to antibiotic	Metronidazole	1	2.30E-05
insD-7	confers resistance to antibiotic	Metronidazole	1	2.30E-05
rplX	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ysaD	confers resistance to antibiotic	Metronidazole	1	0
yihY	confers resistance to antibiotic	Metronidazole	1	0
rpsL	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ispE	confers resistance to antibiotic	Metronidazole	1	2.30E-05
tag	confers resistance to antibiotic	Metronidazole	1	0
secA	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ibsB	confers resistance to antibiotic	Metronidazole	1	0
waaU	confers resistance to antibiotic	Metronidazole	1	2.30E-05
dnaB	confers resistance to antibiotic	Metronidazole	1	2.30E-05
thpR	confers resistance to antibiotic	Metronidazole	1	0
lpxK	confers resistance to antibiotic	Metronidazole	1	2.30E-05
chbC	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ftsK	confers resistance to antibiotic	Metronidazole	1	2.30E-05
bamD	confers resistance to antibiotic	Metronidazole	1	0.00024209
yicT	confers resistance to antibiotic	Metronidazole	1	0
glsA1	confers resistance to antibiotic	Metronidazole	1	0
rclR	confers resistance to antibiotic	Metronidazole	1	2.30E-05
cdgI	confers resistance to antibiotic	Metronidazole	1	0
parE	confers resistance to antibiotic	Metronidazole	1	0
dgcF	confers resistance to antibiotic	Metronidazole	1	0
ytjA	confers resistance to antibiotic	Metronidazole	1	0
rpsP	confers resistance to antibiotic	Metronidazole	1	2.30E-05
efeU	confers resistance to antibiotic	Metronidazole	1	0
rpsI	confers resistance to antibiotic	Metronidazole	1	0
insC-1	confers resistance to antibiotic	Metronidazole	1	2.30E-05
hcxA	confers resistance to antibiotic	Metronidazole	1	2.30E-05
azuC	confers resistance to antibiotic	Metronidazole	1	0
asnS	confers resistance to antibiotic	Metronidazole	1	2.30E-05
ldrB	confers resistance to antibiotic	Metronidazole	1	0
insB-7	confers resistance to antibiotic	Metronidazole	1	0
insF1	confers resistance to antibiotic	Rifampin	1	0
cecR	confers resistance to antibiotic	Rifampin	1	0
pdxI	confers resistance to antibiotic	Rifampin	1	0
pdeD	confers resistance to antibiotic	Rifampin	1	0
rhmA	confers resistance to antibiotic	Rifampin	1	0
rpmE	confers resistance to antibiotic	Rifampin	1	0
pdeL	confers resistance to antibiotic	Rifampin	1	0
gpmM	confers resistance to antibiotic	Rifampin	1	0
rpnB	confers resistance to antibiotic	Rifampin	1	0
crfC	confers resistance to antibiotic	Rifampin	1	0
dgcI	confers resistance to antibiotic	Rifampin	1	0
mcbA	confers resistance to antibiotic	Rifampin	1	0
insX	confers resistance to antibiotic	Rifampin	1	0
hfq	confers resistance to antibiotic	Rifampin	1	2.30E-05
ldtA	confers resistance to antibiotic	Rifampin	1	0
gpr	confers resistance to antibiotic	Rifampin	1	0
uvrA	confers resistance to antibiotic	Rifampin	1	0.00068852
hexR	confers resistance to antibiotic	Rifampin	1	0
corC	confers resistance to antibiotic	Rifampin	1	0
glsA2	confers resistance to antibiotic	Rifampin	1	0
safA	confers resistance to antibiotic	Rifampin	1	0
ybeY	confers resistance to antibiotic	Rifampin	1	2.30E-05
msrQ	confers resistance to antibiotic	Rifampin	1	0
sgrT	confers resistance to antibiotic	Rifampin	1	0
pdeN	confers resistance to antibiotic	Rifampin	1	0
ubiJ	confers resistance to antibiotic	Rifampin	1	0
dgcE	confers resistance to antibiotic	Rifampin	1	0
rpnC	confers resistance to antibiotic	Rifampin	1	0
abpB	confers resistance to antibiotic	Rifampin	1	0
dgcJ	confers resistance to antibiotic	Rifampin	1	0
zapE	confers resistance to antibiotic	Rifampin	1	0
dtpC	confers resistance to antibiotic	Rifampin	1	0
fetA	confers resistance to antibiotic	Rifampin	1	0
lgoR	confers resistance to antibiotic	Rifampin	1	0
abpA	confers resistance to antibiotic	Rifampin	1	0
ppnN	confers resistance to antibiotic	Rifampin	1	0
hcxB	confers resistance to antibiotic	Rifampin	1	0
dnaK	confers resistance to antibiotic	Rifampin	1	2.30E-05
pdeH	confers resistance to antibiotic	Rifampin	1	0
tcyL	confers resistance to antibiotic	Rifampin	1	0
pstA	confers resistance to antibiotic	Rifampin	1	0
bamE	confers resistance to antibiotic	Rifampin	1	0
rplA	confers resistance to antibiotic	Rifampin	1	0
pdeB	confers resistance to antibiotic	Rifampin	1	0
rfaH	confers resistance to antibiotic	Rifampin	1	0
ettA	confers resistance to antibiotic	Rifampin	1	0
dgcT	confers resistance to antibiotic	Rifampin	1	0
insI3	confers resistance to antibiotic	Rifampin	1	0
ibsB	confers resistance to antibiotic	Rifampin	1	0
pqiC	confers resistance to antibiotic	Rifampin	1	0
dgcJ	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
ispA	confers resistance to antibiotic	Spectinomycin	1	0.00024209
erpA	confers resistance to antibiotic	Spectinomycin	1	0
ispE	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
rne	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
insF1	confers resistance to antibiotic	Spectinomycin	1	0
ydhW	confers resistance to antibiotic	Spectinomycin	1	0
tpr	confers resistance to antibiotic	Spectinomycin	1	0
ynhF	confers resistance to antibiotic	Spectinomycin	1	0
ykgO	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
dgcE	confers resistance to antibiotic	Spectinomycin	1	0
lplA	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
rplF	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
pdeN	confers resistance to antibiotic	Spectinomycin	1	0
rplM	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
slt	confers resistance to antibiotic	Spectinomycin	1	0.04302044
mokA	confers resistance to antibiotic	Spectinomycin	1	0
abpB	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
rhmD	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
kdsA	confers resistance to antibiotic	Spectinomycin	1	0
ypjB	confers resistance to antibiotic	Spectinomycin	1	0
mreB	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
rimM	confers resistance to antibiotic	Spectinomycin	1	0.00024209
yihA	confers resistance to antibiotic	Spectinomycin	1	0
fbaA	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
panC	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
ldtA	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
ynjH	confers resistance to antibiotic	Spectinomycin	1	0
ybfK	confers resistance to antibiotic	Spectinomycin	1	0
minC	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
metG	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
pgk	confers resistance to antibiotic	Spectinomycin	1	0
nimT	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
glvB	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
tmk	confers resistance to antibiotic	Spectinomycin	1	0
coaE	confers resistance to antibiotic	Spectinomycin	1	0
orn	confers resistance to antibiotic	Spectinomycin	1	0
hxpA	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
lpp	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
ybfH	confers resistance to antibiotic	Spectinomycin	1	0
ybfQ	confers resistance to antibiotic	Spectinomycin	1	0
rplW	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
ribF	confers resistance to antibiotic	Spectinomycin	1	0
lpxC	confers resistance to antibiotic	Spectinomycin	1	0.00068852
rpsB	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
yoaF	confers resistance to antibiotic	Spectinomycin	1	0
lfhA	confers resistance to antibiotic	Spectinomycin	1	0
plsB	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
gadA	confers resistance to antibiotic	Spectinomycin	1	0.00024209
rplY	confers resistance to antibiotic	Spectinomycin	1	2.30E-05
fmt	confers resistance to antibiotic	Kanamycin	1	0
mokB	confers resistance to antibiotic	Kanamycin	1	0
yibW	confers resistance to antibiotic	Kanamycin	1	0
tpx	confers resistance to antibiotic	Kanamycin	1	2.30E-05
tyrS	confers resistance to antibiotic	Kanamycin	1	0
ytjA	confers resistance to antibiotic	Kanamycin	1	0
yefM	confers resistance to antibiotic	Kanamycin	1	0
rplO	confers resistance to antibiotic	Kanamycin	1	2.30E-05
minD	confers resistance to antibiotic	Kanamycin	1	2.30E-05
lysO	confers resistance to antibiotic	Kanamycin	1	0
ghxQ	confers resistance to antibiotic	Kanamycin	1	0
infB	confers resistance to antibiotic	Kanamycin	1	2.30E-05
araB	confers resistance to antibiotic	Kanamycin	1	0
ftsL	confers resistance to antibiotic	Kanamycin	1	2.30E-05
secF	confers resistance to antibiotic	Kanamycin	1	0
insD-5	confers resistance to antibiotic	Kanamycin	1	2.30E-05
hisS	confers resistance to antibiotic	Kanamycin	1	0
yffN	confers resistance to antibiotic	Kanamycin	1	0
insD-2	confers resistance to antibiotic	Kanamycin	1	2.30E-05
insC-5	confers resistance to antibiotic	Kanamycin	1	2.30E-05
micM	confers resistance to antibiotic	Kanamycin	1	2.30E-05
ade	confers resistance to antibiotic	Kanamycin	1	2.30E-05
yqaC	confers resistance to antibiotic	Kanamycin	1	0
kdpE	confers resistance to antibiotic	Kanamycin	1	2.30E-05
yjiQ	confers resistance to antibiotic	Kanamycin	1	0
yidC	confers resistance to antibiotic	Kanamycin	1	2.30E-05
hxpA	confers resistance to antibiotic	Kanamycin	1	2.30E-05
mgsA	confers resistance to antibiotic	Kanamycin	1	0
fetA	confers resistance to antibiotic	Kanamycin	1	2.30E-05
araD	confers resistance to antibiotic	Kanamycin	1	0
secM	confers resistance to antibiotic	Kanamycin	1	0
rhaB	confers resistance to antibiotic	Kanamycin	1	2.30E-05
pdeB	confers resistance to antibiotic	Kanamycin	1	0
insA-3	confers resistance to antibiotic	Kanamycin	1	2.30E-05
ykgQ	confers resistance to antibiotic	Kanamycin	1	0
cspH	confers resistance to antibiotic	Kanamycin	1	0
mrdB	confers resistance to antibiotic	Kanamycin	1	2.30E-05
radD	confers resistance to antibiotic	Kanamycin	1	2.30E-05
infA	confers resistance to antibiotic	Kanamycin	1	2.30E-05
prs	confers resistance to antibiotic	Kanamycin	1	2.30E-05
ykfL	confers resistance to antibiotic	Kanamycin	1	0
yrfF	confers resistance to antibiotic	Kanamycin	1	2.30E-05
insB-2	confers resistance to antibiotic	Kanamycin	1	0
yoeG	confers resistance to antibiotic	Kanamycin	1	0
engB	confers resistance to antibiotic	Kanamycin	1	0
rplE	confers resistance to antibiotic	Kanamycin	1	0
mntS	confers resistance to antibiotic	Kanamycin	1	0
fhiA	confers resistance to antibiotic	Kanamycin	1	2.30E-05
rplF	confers resistance to antibiotic	Kanamycin	1	0
dnaC	confers resistance to antibiotic	Kanamycin	1	2.30E-05
rpsE	confers resistance to antibiotic	Vancomycin	1	2.30E-05
ftsL	confers resistance to antibiotic	Vancomycin	1	2.30E-05
lptD	confers resistance to antibiotic	Vancomycin	1	2.30E-05
nadE	confers resistance to antibiotic	Vancomycin	1	0
yrfF	confers resistance to antibiotic	Vancomycin	1	2.30E-05
ytcA	confers resistance to antibiotic	Vancomycin	1	0
dgcP	confers resistance to antibiotic	Vancomycin	1	0
decR	confers resistance to antibiotic	Vancomycin	1	0
asnS	confers resistance to antibiotic	Vancomycin	1	0
rclC	confers resistance to antibiotic	Vancomycin	1	0
ftsA	confers resistance to antibiotic	Vancomycin	1	2.30E-05
arrQ	confers resistance to antibiotic	Vancomycin	1	0
trmD	confers resistance to antibiotic	Vancomycin	1	0
pgsA	confers resistance to antibiotic	Vancomycin	1	0
ppa	confers resistance to antibiotic	Vancomycin	1	2.30E-05
mqsA	confers resistance to antibiotic	Vancomycin	1	2.30E-05
hemL	confers resistance to antibiotic	Vancomycin	1	2.30E-05
hscB	confers resistance to antibiotic	Vancomycin	1	2.30E-05
tcyN	confers resistance to antibiotic	Vancomycin	1	0
rutD	confers resistance to antibiotic	Vancomycin	1	0
ydhW	confers resistance to antibiotic	Vancomycin	1	0
marC	confers resistance to antibiotic	Vancomycin	1	0
xapR	confers resistance to antibiotic	Vancomycin	1	0.00024209
lpxK	confers resistance to antibiotic	Vancomycin	1	0
mltG	confers resistance to antibiotic	Vancomycin	1	2.30E-05
yliL	confers resistance to antibiotic	Vancomycin	1	0
bepA	confers resistance to antibiotic	Vancomycin	1	2.30E-05
prs	confers resistance to antibiotic	Vancomycin	1	0
fumE	confers resistance to antibiotic	Vancomycin	1	0
insC-3	confers resistance to antibiotic	Vancomycin	1	2.30E-05
rpoB	confers resistance to antibiotic	Vancomycin	1	0.00024209
ppnP	confers resistance to antibiotic	Vancomycin	1	0
ftsX	confers resistance to antibiotic	Vancomycin	1	2.30E-05
rplU	confers resistance to antibiotic	Vancomycin	1	2.30E-05
insM	confers resistance to antibiotic	Vancomycin	1	0
tcyJ	confers resistance to antibiotic	Vancomycin	1	0
insA-4	confers resistance to antibiotic	Vancomycin	1	0
trmO	confers resistance to antibiotic	Vancomycin	1	0
ldrA	confers resistance to antibiotic	Vancomycin	1	0
araA	confers resistance to antibiotic	Vancomycin	1	0
insX	confers resistance to antibiotic	Vancomycin	1	2.30E-05
accB	confers resistance to antibiotic	Vancomycin	1	2.30E-05
yncL	confers resistance to antibiotic	Vancomycin	1	0
glsA1	confers resistance to antibiotic	Vancomycin	1	0
yegZ	confers resistance to antibiotic	Vancomycin	1	0
insC-4	confers resistance to antibiotic	Vancomycin	1	2.30E-05
pdeD	confers resistance to antibiotic	Vancomycin	1	0
pdeI	confers resistance to antibiotic	Vancomycin	1	0
ftsY	confers resistance to antibiotic	Vancomycin	1	0
insA-2	confers resistance to antibiotic	Vancomycin	1	0
yibS	confers resistance to antibiotic	Novobiocin	1	0
xisR	confers resistance to antibiotic	Novobiocin	1	0
yibW	confers resistance to antibiotic	Novobiocin	1	0
insH-1	confers resistance to antibiotic	Novobiocin	1	2.30E-05
flgM	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ytjA	confers resistance to antibiotic	Novobiocin	1	0
rpmA	confers resistance to antibiotic	Novobiocin	1	0.00046946
srkA	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ypjM_3	confers resistance to antibiotic	Novobiocin	1	0
insE-1	confers resistance to antibiotic	Novobiocin	1	2.30E-05
betT	confers resistance to antibiotic	Novobiocin	1	0
rplT	confers resistance to antibiotic	Novobiocin	1	0
ykgN	confers resistance to antibiotic	Novobiocin	1	0
ilvL	confers resistance to antibiotic	Novobiocin	1	0
mukE	confers resistance to antibiotic	Novobiocin	1	2.30E-05
yeeW	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ldtE	confers resistance to antibiotic	Novobiocin	1	2.30E-05
bioP	confers resistance to antibiotic	Novobiocin	1	0
rpsD	confers resistance to antibiotic	Novobiocin	1	0.00024209
gltX	confers resistance to antibiotic	Novobiocin	1	2.30E-05
mtnN	confers resistance to antibiotic	Novobiocin	1	0
yoaG	confers resistance to antibiotic	Novobiocin	1	0
insC-6	confers resistance to antibiotic	Novobiocin	1	2.30E-05
glsA2	confers resistance to antibiotic	Novobiocin	1	0
rplB	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ispG	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ibsD	confers resistance to antibiotic	Novobiocin	1	0
polA	confers resistance to antibiotic	Novobiocin	1	2.30E-05
ydhQ	confers resistance to antibiotic	Novobiocin	1	0
fmt	confers resistance to antibiotic	Novobiocin	1	0
tsaC	confers resistance to antibiotic	Novobiocin	1	2.30E-05
rzoQ	confers resistance to antibiotic	Novobiocin	1	0
mreC	confers resistance to antibiotic	Novobiocin	1	2.30E-05
insO	confers resistance to antibiotic	Novobiocin	1	0
bcsC	confers resistance to antibiotic	Novobiocin	1	0
mukF	confers resistance to antibiotic	Novobiocin	1	2.30E-05
bamA	confers resistance to antibiotic	Novobiocin	1	2.30E-05
