Subject	Predicate	Object	Belief	Source size	Sources	Total source size	Mean belief of conflicting tuples	Belief difference	Conflicting tuple info
acrA	confers resistance to antibiotic	Ciprofloxacin	0.6752755521	3	Nichols,Tamae,Liu	4	0.0867055766	0.5885699755	[(('acrA', 'confers no resistance to antibiotic', 'Ciprofloxacin'), ['Soo'], 0.0867055766145914)]
acrA	confers resistance to antibiotic	Enoxacin	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('acrA', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.0867055766145914)]
acrA	confers resistance to antibiotic	Erythromycin	0.3879426744	2	Nichols,Liu	4	0.2740166503	0.1139260241	[(('acrA', 'confers no resistance to antibiotic', 'Erythromycin'), ['Girgis', 'Soo'], 0.2740166502507763)]
acrA	confers resistance to antibiotic	Fusidic acid	0.3879426744	2	Nichols,Liu	4	0.2740166503	0.1139260241	[(('acrA', 'confers no resistance to antibiotic', 'Fusidic acid'), ['Girgis', 'Soo'], 0.2740166502507763)]
acrA	confers no resistance to antibiotic	Gentamicins	0.7401773106	4	Nichols,Tamae,Girgis,Youn	5	0.2561280647	0.4840492459	[(('acrA', 'confers resistance to antibiotic', 'Gentamicins'), ['Liu'], 0.2561280647347978)]
acrA	confers no resistance to antibiotic	Metronidazole	0.2873328777	1	Tamae	2	0.2561280647	0.0312048130	[(('acrA', 'confers resistance to antibiotic', 'Metronidazole'), ['Liu'], 0.2561280647347978)]
acrA	confers no resistance to antibiotic	Nitrofurantoin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('acrA', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2561280647347978)]
acrA	confers resistance to antibiotic	Puromycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('acrA', 'confers no resistance to antibiotic', 'Puromycin'), ['Soo'], 0.0867055766145914)]
acrA	confers resistance to antibiotic	Rifampin	0.5575613324	3	Tamae,Liu,CARD	6	0.3559335605	0.2016277719	[(('acrA', 'confers no resistance to antibiotic', 'Rifampin'), ['Nichols', 'Soo', 'Shaw'], 0.3559335605253733)]
acrA	confers resistance to antibiotic	Spectinomycin	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('acrA', 'confers no resistance to antibiotic', 'Spectinomycin'), ['Nichols'], 0.13181460964368608)]
acrA	confers resistance to antibiotic	Spiramycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('acrA', 'confers no resistance to antibiotic', 'Spiramycin'), ['Soo'], 0.0867055766145914)]
acrA	confers resistance to antibiotic	Streptomycin	0.2561280647	1	Liu	2	0.1873110736	0.0688169911	[(('acrA', 'confers no resistance to antibiotic', 'Streptomycin'), ['Girgis'], 0.18731107363618493)]
acrA	confers no resistance to antibiotic	Sulfamethoxazole	0.4210516273	2	Tamae,Youn	3	0.2561280647	0.1649235626	[(('acrA', 'confers resistance to antibiotic', 'Sulfamethoxazole'), ['Liu'], 0.2561280647347978)]
acrA	confers resistance to antibiotic	Tetracycline	0.3879426744	2	Nichols,Liu	3	0.1873110736	0.2006316007	[(('acrA', 'confers no resistance to antibiotic', 'Tetracycline'), ['Girgis'], 0.18731107363618493)]
acrA	confers no resistance to antibiotic	Tobramycin	0.4058312599	3	Nichols,Girgis,Soo	5	0.2702284547	0.1356028052	[(('acrA', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu', 'CARD'], 0.2702284546896601)]
acrA	confers no resistance to antibiotic	Trimethoprim	0.2740166503	2	Girgis,Soo	3	0.1318146096	0.1422020406	[(('acrA', 'confers resistance to antibiotic', 'Trimethoprim'), ['Nichols'], 0.13181460964368608)]
acrB	confers resistance to antibiotic	Ampicillin	0.8766870157	5	Nichols,Tamae,Liu,Girgis,CARD	6	0.1374133743	0.7392736414	[(('acrB', 'confers no resistance to antibiotic', 'Ampicillin'), ['Shaw'], 0.1374133742670958)]
acrB	confers resistance to antibiotic	Cefoxitin	0.4434391384	2	Liu,Girgis	3	0.1318146096	0.3116245287	[(('acrB', 'confers no resistance to antibiotic', 'Cefoxitin'), ['Nichols'], 0.13181460964368608)]
acrB	confers no resistance to antibiotic	Cephalothin	0.0867055766	1	Soo	2	0.0141003900	0.0726051867	[(('acrB', 'confers resistance to antibiotic', 'Cephalothin'), ['CARD'], 0.014100389954862283)]
acrB	confers resistance to antibiotic	Ciprofloxacin	0.5434609425	2	Tamae,Liu	4	0.2185201863	0.3249407562	[(('acrB', 'confers no resistance to antibiotic', 'Ciprofloxacin'), ['Nichols', 'Soo'], 0.2185201862582775)]
acrB	confers resistance to antibiotic	Enoxacin	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('acrB', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.0867055766145914)]
acrB	confers resistance to antibiotic	Erythromycin	0.5752537480	3	Nichols,Liu,Girgis	4	0.0867055766	0.4885481714	[(('acrB', 'confers no resistance to antibiotic', 'Erythromycin'), ['Soo'], 0.0867055766145914)]
acrB	confers resistance to antibiotic	Fusidic acid	0.5752537480	3	Nichols,Liu,Girgis	4	0.0867055766	0.4885481714	[(('acrB', 'confers no resistance to antibiotic', 'Fusidic acid'), ['Soo'], 0.0867055766145914)]
acrB	confers no resistance to antibiotic	Metronidazole	0.2873328777	1	Tamae	2	0.2561280647	0.0312048130	[(('acrB', 'confers resistance to antibiotic', 'Metronidazole'), ['Liu'], 0.2561280647347978)]
acrB	confers no resistance to antibiotic	Nalidixic acid	0.2740166503	2	Girgis,Soo	3	0.1318146096	0.1422020406	[(('acrB', 'confers resistance to antibiotic', 'Nalidixic acid'), ['Nichols'], 0.13181460964368608)]
acrB	confers resistance to antibiotic	Piperacillin	0.1873110736	1	Girgis	2	0.0867055766	0.1006054970	[(('acrB', 'confers no resistance to antibiotic', 'Piperacillin'), ['Soo'], 0.0867055766145914)]
acrB	confers resistance to antibiotic	Puromycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('acrB', 'confers no resistance to antibiotic', 'Puromycin'), ['Soo'], 0.0867055766145914)]
acrB	confers resistance to antibiotic	Rifampin	0.5575613324	3	Tamae,Liu,CARD	6	0.3559335605	0.2016277719	[(('acrB', 'confers no resistance to antibiotic', 'Rifampin'), ['Nichols', 'Soo', 'Shaw'], 0.3559335605253733)]
acrB	confers no resistance to antibiotic	Spectinomycin	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('acrB', 'confers resistance to antibiotic', 'Spectinomycin'), ['Nichols'], 0.13181460964368608)]
acrB	confers resistance to antibiotic	Spiramycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('acrB', 'confers no resistance to antibiotic', 'Spiramycin'), ['Soo'], 0.0867055766145914)]
acrB	confers resistance to antibiotic	Tetracycline	0.4434391384	2	Liu,Girgis	3	0.1318146096	0.3116245287	[(('acrB', 'confers no resistance to antibiotic', 'Tetracycline'), ['Nichols'], 0.13181460964368608)]
acrB	confers resistance to antibiotic	Trimethoprim	0.3191256833	2	Nichols,Girgis	3	0.0867055766	0.2324201067	[(('acrB', 'confers no resistance to antibiotic', 'Trimethoprim'), ['Soo'], 0.0867055766145914)]
acrD	confers no resistance to antibiotic	Tobramycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.0141003900	0.3917308699	[(('acrD', 'confers resistance to antibiotic', 'Tobramycin'), ['CARD'], 0.014100389954862283)]
acrE	confers resistance to antibiotic	Aztreonam	0.2561280647	1	Liu	3	0.2185201863	0.0376078785	[(('acrE', 'confers no resistance to antibiotic', 'Aztreonam'), ['Nichols', 'Soo'], 0.2185201862582775)]
acrE	confers no resistance to antibiotic	Ciprofloxacin	0.5058530640	3	Nichols,Tamae,Soo	4	0.0141003900	0.4917526740	[(('acrE', 'confers resistance to antibiotic', 'Ciprofloxacin'), ['CARD'], 0.014100389954862283)]
acrE	confers resistance to antibiotic	Enoxacin	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('acrE', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.0867055766145914)]
acrE	confers no resistance to antibiotic	Tobramycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('acrE', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu'], 0.2561280647347978)]
acrF	confers no resistance to antibiotic	Ampicillin	0.8625866257	4	Nichols,Tamae,Liu,Girgis	5	0.1374133743	0.7251732515	[(('acrF', 'confers resistance to antibiotic', 'Ampicillin'), ['Shaw'], 0.1374133742670958)]
acrF	confers no resistance to antibiotic	Ciprofloxacin	0.7619811287	4	Nichols,Tamae,Liu,Soo	5	0.0141003900	0.7478807388	[(('acrF', 'confers resistance to antibiotic', 'Ciprofloxacin'), ['CARD'], 0.014100389954862283)]
acrR	confers no resistance to antibiotic	Triclosan	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('acrR', 'confers resistance to antibiotic', 'Triclosan'), ['Nichols'], 0.13181460964368608)]
acrZ	confers resistance to antibiotic	Ampicillin	0.5434609425	2	Tamae,Liu	5	0.4565390575	0.0869218849	[(('acrZ', 'confers no resistance to antibiotic', 'Ampicillin'), ['Nichols', 'Girgis', 'Shaw'], 0.45653905754696683)]
acrZ	confers no resistance to antibiotic	Cefoxitin	0.3191256833	2	Nichols,Girgis	3	0.2561280647	0.0629976185	[(('acrZ', 'confers resistance to antibiotic', 'Cefoxitin'), ['Liu'], 0.2561280647347978)]
acrZ	confers no resistance to antibiotic	Chloramphenicol	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('acrZ', 'confers resistance to antibiotic', 'Chloramphenicol'), ['Nichols'], 0.13181460964368608)]
acrZ	confers no resistance to antibiotic	Ciprofloxacin	0.6395718136	4	Nichols,Tamae,Soo,Youn	5	0.2561280647	0.3834437489	[(('acrZ', 'confers resistance to antibiotic', 'Ciprofloxacin'), ['Liu'], 0.2561280647347978)]
acrZ	confers resistance to antibiotic	Enoxacin	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('acrZ', 'confers no resistance to antibiotic', 'Enoxacin'), ['Soo'], 0.0867055766145914)]
acrZ	confers no resistance to antibiotic	Gentamicins	0.7401773106	4	Nichols,Tamae,Girgis,Youn	5	0.2561280647	0.4840492459	[(('acrZ', 'confers resistance to antibiotic', 'Gentamicins'), ['Liu'], 0.2561280647347978)]
acrZ	confers no resistance to antibiotic	Tobramycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('acrZ', 'confers resistance to antibiotic', 'Tobramycin'), ['Liu'], 0.2561280647347978)]
ade	confers no resistance to antibiotic	Erythromycin	0.2740166503	2	Girgis,Soo	3	0.2561280647	0.0178885855	[(('ade', 'confers resistance to antibiotic', 'Erythromycin'), ['Liu'], 0.2561280647347978)]
agaR	confers no resistance to antibiotic	Trimethoprim	0.2740166503	2	Girgis,Soo	3	0.1318146096	0.1422020406	[(('agaR', 'confers resistance to antibiotic', 'Trimethoprim'), ['Nichols'], 0.13181460964368608)]
ais	confers no resistance to antibiotic	Tobramycin	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('ais', 'confers resistance to antibiotic', 'Tobramycin'), ['Girgis'], 0.18731107363618493)]
alaS	confers resistance to antibiotic	Aztreonam	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('alaS', 'confers no resistance to antibiotic', 'Aztreonam'), ['Soo'], 0.0867055766145914)]
alaS	confers no resistance to antibiotic	Ciprofloxacin	0.5077572040	3	Tamae,Soo,Youn	4	0.2561280647	0.2516291392	[(('alaS', 'confers resistance to antibiotic', 'Ciprofloxacin'), ['Liu'], 0.2561280647347978)]
alaS	confers resistance to antibiotic	Fusidic acid	0.2561280647	1	Liu	2	0.0867055766	0.1694224881	[(('alaS', 'confers no resistance to antibiotic', 'Fusidic acid'), ['Soo'], 0.0867055766145914)]
alaS	confers no resistance to antibiotic	Nitrofurantoin	0.2740166503	2	Girgis,Soo	3	0.2561280647	0.0178885855	[(('alaS', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2561280647347978)]
allC	confers no resistance to antibiotic	Tobramycin	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('allC', 'confers resistance to antibiotic', 'Tobramycin'), ['Girgis'], 0.18731107363618493)]
allE	confers no resistance to antibiotic	Tobramycin	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('allE', 'confers resistance to antibiotic', 'Tobramycin'), ['Girgis'], 0.18731107363618493)]
amiA	confers no resistance to antibiotic	Metronidazole	0.2873328777	1	Tamae	2	0.2561280647	0.0312048130	[(('amiA', 'confers resistance to antibiotic', 'Metronidazole'), ['Liu'], 0.2561280647347978)]
amiA	confers no resistance to antibiotic	Nitrofurantoin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('amiA', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2561280647347978)]
amiA	confers no resistance to antibiotic	Spectinomycin	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('amiA', 'confers resistance to antibiotic', 'Spectinomycin'), ['Nichols'], 0.13181460964368608)]
amiA	confers no resistance to antibiotic	Tetracycline	0.3191256833	2	Nichols,Girgis	3	0.2561280647	0.0629976185	[(('amiA', 'confers resistance to antibiotic', 'Tetracycline'), ['Liu'], 0.2561280647347978)]
ampC	confers no resistance to antibiotic	Ampicillin	0.6808743167	3	Tamae,Liu,Shaw	5	0.3191256833	0.3617486334	[(('ampC', 'confers resistance to antibiotic', 'Ampicillin'), ['Nichols', 'Girgis'], 0.319125683279871)]
ampC	confers no resistance to antibiotic	Penicillin G	0.0867055766	1	Soo	2	0.0141003900	0.0726051867	[(('ampC', 'confers resistance to antibiotic', 'Penicillin G'), ['CARD'], 0.014100389954862283)]
ampE	confers no resistance to antibiotic	Nalidixic acid	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('ampE', 'confers resistance to antibiotic', 'Nalidixic acid'), ['Girgis'], 0.18731107363618493)]
ampG	confers no resistance to antibiotic	Ampicillin	0.8126889264	4	Nichols,Tamae,Liu,Shaw	5	0.1873110736	0.6253778527	[(('ampG', 'confers resistance to antibiotic', 'Ampicillin'), ['Girgis'], 0.18731107363618493)]
ampG	confers resistance to antibiotic	Cefoxitin	0.1873110736	1	Girgis	2	0.1318146096	0.0554964640	[(('ampG', 'confers no resistance to antibiotic', 'Cefoxitin'), ['Nichols'], 0.13181460964368608)]
ampG	confers resistance to antibiotic	Piperacillin	0.1873110736	1	Girgis	2	0.0867055766	0.1006054970	[(('ampG', 'confers no resistance to antibiotic', 'Piperacillin'), ['Soo'], 0.0867055766145914)]
anmK	confers no resistance to antibiotic	Ampicillin	0.8126889264	4	Nichols,Tamae,Liu,Shaw	5	0.1873110736	0.6253778527	[(('anmK', 'confers resistance to antibiotic', 'Ampicillin'), ['Girgis'], 0.18731107363618493)]
ansA	confers no resistance to antibiotic	Norfloxacin	0.1374133743	1	Shaw	2	0.1318146096	0.0055987646	[(('ansA', 'confers resistance to antibiotic', 'Norfloxacin'), ['Nichols'], 0.13181460964368608)]
apt	confers no resistance to antibiotic	Rifampin	0.7619811287	4	Nichols,Tamae,Liu,Soo	5	0.1374133743	0.6245677544	[(('apt', 'confers resistance to antibiotic', 'Rifampin'), ['Shaw'], 0.1374133742670958)]
araJ	confers no resistance to antibiotic	Tobramycin	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('araJ', 'confers resistance to antibiotic', 'Tobramycin'), ['Girgis'], 0.18731107363618493)]
arcB	confers no resistance to antibiotic	Chloramphenicol	0.3879426744	2	Nichols,Liu	3	0.0592818347	0.3286608397	[(('arcB', 'confers resistance to antibiotic', 'Chloramphenicol'), ['Zhou'], 0.05928183472365702)]
arcB	confers no resistance to antibiotic	Ciprofloxacin	0.6301665191	3	Tamae,Liu,Soo	4	0.1318146096	0.4983519094	[(('arcB', 'confers resistance to antibiotic', 'Ciprofloxacin'), ['Nichols'], 0.13181460964368608)]
arcB	confers no resistance to antibiotic	Puromycin	0.2185201863	2	Nichols,Soo	3	0.0592818347	0.1592383515	[(('arcB', 'confers resistance to antibiotic', 'Puromycin'), ['Zhou'], 0.05928183472365702)]
arcB	confers no resistance to antibiotic	Spiramycin	0.1459874113	2	Zhou,Soo	3	0.1318146096	0.0141728017	[(('arcB', 'confers resistance to antibiotic', 'Spiramycin'), ['Nichols'], 0.13181460964368608)]
arcB	confers no resistance to antibiotic	Tylosin	0.0867055766	1	Soo	2	0.0592818347	0.0274237419	[(('arcB', 'confers resistance to antibiotic', 'Tylosin'), ['Zhou'], 0.05928183472365702)]
arfA	confers no resistance to antibiotic	Chloramphenicol	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('arfA', 'confers resistance to antibiotic', 'Chloramphenicol'), ['Nichols'], 0.13181460964368608)]
arfA	confers no resistance to antibiotic	Tetracycline	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('arfA', 'confers resistance to antibiotic', 'Tetracycline'), ['Nichols'], 0.13181460964368608)]
argO	confers resistance to antibiotic	Chloramphenicol	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('argO', 'confers no resistance to antibiotic', 'Chloramphenicol'), ['Nichols'], 0.13181460964368608)]
argO	confers no resistance to antibiotic	Erythromycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('argO', 'confers resistance to antibiotic', 'Erythromycin'), ['Liu'], 0.2561280647347978)]
argO	confers no resistance to antibiotic	Nalidixic acid	0.2740166503	2	Girgis,Soo	3	0.1318146096	0.1422020406	[(('argO', 'confers resistance to antibiotic', 'Nalidixic acid'), ['Nichols'], 0.13181460964368608)]
argO	confers no resistance to antibiotic	Rifampin	0.7769851879	5	Nichols,Tamae,Soo,Youn,Shaw	6	0.2561280647	0.5208571231	[(('argO', 'confers resistance to antibiotic', 'Rifampin'), ['Liu'], 0.2561280647347978)]
argO	confers no resistance to antibiotic	Streptomycin	0.2561280647	1	Liu	2	0.1873110736	0.0688169911	[(('argO', 'confers resistance to antibiotic', 'Streptomycin'), ['Girgis'], 0.18731107363618493)]
arnF	confers no resistance to antibiotic	Tobramycin	0.2185201863	2	Nichols,Soo	3	0.1873110736	0.0312091126	[(('arnF', 'confers resistance to antibiotic', 'Tobramycin'), ['Girgis'], 0.18731107363618493)]
aroA	confers no resistance to antibiotic	Ampicillin	0.8681853904	4	Tamae,Liu,Girgis,Shaw	5	0.1318146096	0.7363707807	[(('aroA', 'confers resistance to antibiotic', 'Ampicillin'), ['Nichols'], 0.13181460964368608)]
aroC	confers no resistance to antibiotic	Ampicillin	0.8681853904	4	Tamae,Liu,Girgis,Shaw	5	0.1318146096	0.7363707807	[(('aroC', 'confers resistance to antibiotic', 'Ampicillin'), ['Nichols'], 0.13181460964368608)]
aroG	confers no resistance to antibiotic	Triclosan	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('aroG', 'confers resistance to antibiotic', 'Triclosan'), ['Nichols'], 0.13181460964368608)]
aroK	confers no resistance to antibiotic	Sulfamonomethoxine	0.2740166503	2	Girgis,Soo	3	0.1318146096	0.1422020406	[(('aroK', 'confers resistance to antibiotic', 'Sulfamonomethoxine'), ['Nichols'], 0.13181460964368608)]
artQ	confers no resistance to antibiotic	Erythromycin	0.5301447150	3	Liu,Girgis,Soo	4	0.1318146096	0.3983301053	[(('artQ', 'confers resistance to antibiotic', 'Erythromycin'), ['Nichols'], 0.13181460964368608)]
asmA	confers no resistance to antibiotic	Bleomycin	0.1873110736	1	Girgis	2	0.1318146096	0.0554964640	[(('asmA', 'confers resistance to antibiotic', 'Bleomycin'), ['Nichols'], 0.13181460964368608)]
asmA	confers no resistance to antibiotic	Erythromycin	0.5301447150	3	Liu,Girgis,Soo	4	0.1318146096	0.3983301053	[(('asmA', 'confers resistance to antibiotic', 'Erythromycin'), ['Nichols'], 0.13181460964368608)]
asmA	confers no resistance to antibiotic	Fusidic acid	0.5301447150	3	Liu,Girgis,Soo	4	0.1318146096	0.3983301053	[(('asmA', 'confers resistance to antibiotic', 'Fusidic acid'), ['Nichols'], 0.13181460964368608)]
asmA	confers resistance to antibiotic	Puromycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('asmA', 'confers no resistance to antibiotic', 'Puromycin'), ['Soo'], 0.0867055766145914)]
asmA	confers resistance to antibiotic	Spiramycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('asmA', 'confers no resistance to antibiotic', 'Spiramycin'), ['Soo'], 0.0867055766145914)]
asmA	confers no resistance to antibiotic	Triclosan	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('asmA', 'confers resistance to antibiotic', 'Triclosan'), ['Nichols'], 0.13181460964368608)]
asmA	confers no resistance to antibiotic	Vancomycin	0.5434609425	2	Tamae,Liu	3	0.1318146096	0.4116463328	[(('asmA', 'confers resistance to antibiotic', 'Vancomycin'), ['Nichols'], 0.13181460964368608)]
aspA	confers resistance to antibiotic	Amikacin	0.1873110736	1	Girgis	2	0.1318146096	0.0554964640	[(('aspA', 'confers no resistance to antibiotic', 'Amikacin'), ['Nichols'], 0.13181460964368608)]
aspA	confers resistance to antibiotic	Aztreonam	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('aspA', 'confers no resistance to antibiotic', 'Aztreonam'), ['Soo'], 0.0867055766145914)]
aspA	confers resistance to antibiotic	Spiramycin	0.1318146096	1	Nichols	2	0.0867055766	0.0451090330	[(('aspA', 'confers no resistance to antibiotic', 'Spiramycin'), ['Soo'], 0.0867055766145914)]
aspA	confers no resistance to antibiotic	Streptomycin	0.2561280647	1	Liu	2	0.1873110736	0.0688169911	[(('aspA', 'confers resistance to antibiotic', 'Streptomycin'), ['Girgis'], 0.18731107363618493)]
atoC	confers no resistance to antibiotic	Dihydrostreptomycin	0.0867055766	1	Soo	2	0.0592818347	0.0274237419	[(('atoC', 'confers resistance to antibiotic', 'Dihydrostreptomycin'), ['Zhou'], 0.05928183472365702)]
atoC	confers no resistance to antibiotic	Polymyxin B	0.1318146096	1	Nichols	2	0.0592818347	0.0725327749	[(('atoC', 'confers resistance to antibiotic', 'Polymyxin B'), ['Zhou'], 0.05928183472365702)]
atoE	confers no resistance to antibiotic	Streptomycin	0.2561280647	1	Liu	2	0.1873110736	0.0688169911	[(('atoE', 'confers resistance to antibiotic', 'Streptomycin'), ['Girgis'], 0.18731107363618493)]
atoS	confers no resistance to antibiotic	Dihydrostreptomycin	0.0867055766	1	Soo	2	0.0592818347	0.0274237419	[(('atoS', 'confers resistance to antibiotic', 'Dihydrostreptomycin'), ['Zhou'], 0.05928183472365702)]
atoS	confers no resistance to antibiotic	Polymyxin B	0.1318146096	1	Nichols	2	0.0592818347	0.0725327749	[(('atoS', 'confers resistance to antibiotic', 'Polymyxin B'), ['Zhou'], 0.05928183472365702)]
atpA	confers no resistance to antibiotic	Ampicillin	0.8463858719	5	Nichols,Liu,Girgis,Youn,Shaw	6	0.2873328777	0.5590529942	[(('atpA', 'confers resistance to antibiotic', 'Ampicillin'), ['Tamae'], 0.28733287771823535)]
atpD	confers no resistance to antibiotic	Cefoxitin	0.1873110736	1	Girgis	2	0.1318146096	0.0554964640	[(('atpD', 'confers resistance to antibiotic', 'Cefoxitin'), ['Nichols'], 0.13181460964368608)]
atpG	confers no resistance to antibiotic	Ampicillin	0.8775906849	5	Nichols,Tamae,Girgis,Youn,Shaw	6	0.2561280647	0.6214626202	[(('atpG', 'confers resistance to antibiotic', 'Ampicillin'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Erythromycin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('atpG', 'confers resistance to antibiotic', 'Erythromycin'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Fusidic acid	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('atpG', 'confers resistance to antibiotic', 'Fusidic acid'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Gentamicins	0.7401773106	4	Nichols,Tamae,Girgis,Youn	5	0.2561280647	0.4840492459	[(('atpG', 'confers resistance to antibiotic', 'Gentamicins'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Metronidazole	0.2873328777	1	Tamae	2	0.2561280647	0.0312048130	[(('atpG', 'confers resistance to antibiotic', 'Metronidazole'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Nitrofurantoin	0.4058312599	3	Nichols,Girgis,Soo	4	0.2561280647	0.1497031952	[(('atpG', 'confers resistance to antibiotic', 'Nitrofurantoin'), ['Liu'], 0.2561280647347978)]
atpG	confers no resistance to antibiotic	Rifampin	0.7769851879	5	Nichols,Tamae,Soo,Youn,Shaw	6	0.2561280647	0.5208571231	[(('atpG', 'confers resistance to antibiotic', 'Rifampin'), ['Liu'], 0.2561280647347978)]
atpG	confers resistance to antibiotic	Spectinomycin	0.2561280647	1	Liu	2	0.1318146096	0.1243134551	[(('atpG', 'confers no resistance to antibiotic', 'Spectinomycin'), ['Nichols'], 0.13181460964368608)]
