Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
yjjX	generalizations	object		0.2		
bioF	generalizations	object		0.2		
cutC	generalizations	object		0.2		
mppA	generalizations	object		0.2		
speB	generalizations	object		0.2		
ydiJ	generalizations	object		0.2		
ycjX	generalizations	object		0.2		
ygcK	generalizations	object		0.2		
rrmA	generalizations	object		0.2		
tyrA	generalizations	object		0.2		
gltI	generalizations	object		0.2		
cas2	generalizations	object		0.2		
yhaH	generalizations	object		0.2		
yciM	generalizations	object		0.2		
fabI	generalizations	object		0.2		
serC	generalizations	object		0.2		
yjeF	generalizations	object		0.2		
ypfJ	generalizations	object		0.2		
setA	generalizations	object		0.2		
yggW	generalizations	object		0.2		
fliH	generalizations	object		0.2		
ydgK	generalizations	object		0.2		
hlyE	generalizations	object		0.2		
ynjB	generalizations	object		0.2		
leuO	generalizations	object		0.2		
wbbL	generalizations	object		0.2		
ynfF	generalizations	object		0.2		
alsE	generalizations	object		0.2		
fbaB	generalizations	object		0.2		
yafF	generalizations	object		0.2		
yfjI	generalizations	object		0.2		
ddpC	generalizations	object		0.2		
yafK	generalizations	object		0.2		
sspA	generalizations	object		0.2		
gatC	generalizations	object		0.2		
yneH	generalizations	object		0.2		
yiaN	generalizations	object		0.2		
ydjA	generalizations	object		0.2		
yiiU	generalizations	object		0.2		
lit	generalizations	object		0.2		
ykgN	generalizations	object		0.2		
nirC	generalizations	object		0.2		
acs	generalizations	object		0.2		
ybaO	generalizations	object		0.2		
ybhM	generalizations	object		0.2		
yhbT	generalizations	object		0.2		
yafM	generalizations	object		0.2		
ygjK	generalizations	object		0.2		
stpA	generalizations	object		0.2		
insC-3	generalizations	object		0.2		
yqjA	generalizations	object		0.2		
fliG	generalizations	object		0.2		
fryB	generalizations	object		0.2		
envR	generalizations	object		0.2		
glpE	generalizations	object		0.2		
hisH	generalizations	object		0.2		
yecF	generalizations	object		0.2		
ygjM	generalizations	object		0.2		
ttdB	generalizations	object		0.2		
ybaA	generalizations	object		0.2		
sucC	generalizations	object		0.2		
yhiJ	generalizations	object		0.2		
yncK	generalizations	object		0.2		
yjgI	generalizations	object		0.2		
asnS	generalizations	object		0.2		
grxC	generalizations	object		0.2		
hybB	generalizations	object		0.2		
cysA	generalizations	object		0.2		
cysW	generalizations	object		0.2		
yjdL	generalizations	object		0.2		
pyrE	generalizations	object		0.2		
ygiQ	generalizations	object		0.2		
yebG	generalizations	object		0.2		
yihV	generalizations	object		0.2		
uhpB	generalizations	object		0.2		
creB	generalizations	object		0.2		
yfiD	generalizations	object		0.2		
garP	generalizations	object		0.2		
yedA	generalizations	object		0.2		
yadK	generalizations	object		0.2		
fimH	generalizations	object		0.2		
yfdM	generalizations	object		0.2		
narZ	generalizations	object		0.2		
ftsI	generalizations	object		0.2		
yceF	generalizations	object		0.2		
zntA	generalizations	object		0.2		
hslJ	generalizations	object		0.2		
ybaB	generalizations	object		0.2		
selD	generalizations	object		0.2		
ydjN	generalizations	object		0.2		
ymgJ	generalizations	object		0.2		
potG	generalizations	object		0.2		
cyoB	generalizations	object		0.2		
ygcB	generalizations	object		0.2		
yqfE	generalizations	object		0.2		
fic	generalizations	object		0.2		
ylbE	generalizations	object		0.2		
yoaG	generalizations	object		0.2		
fimG	generalizations	object		0.2		
talB	generalizations	object		0.2		
fadL	generalizations	object		0.2		
yecD	generalizations	object		0.2		
purH	generalizations	object		0.2		
qseB	generalizations	object		0.2		
yciT	generalizations	object		0.2		
fabA	generalizations	object		0.2		
rcsC	generalizations	object		0.2		
ynfE	generalizations	object		0.2		
xisE	generalizations	object		0.2		
typA	generalizations	object		0.2		
mdtF	generalizations	object		0.2		
yfaZ	generalizations	object		0.2		
nagA	generalizations	object		0.2		
tatC	generalizations	object		0.2		
ybcH	generalizations	object		0.2		
yeaJ	generalizations	object		0.2		
ygeH	generalizations	object		0.2		
mlc	generalizations	object		0.2		
hflX	generalizations	object		0.2		
marA	generalizations	object		0.2		
kefF	generalizations	object		0.2		
yicR	generalizations	object		0.2		
yibW	generalizations	object		0.2		
fabR	generalizations	object		0.2		
aceK	generalizations	object		0.2		
nuoG	generalizations	object		0.2		
yejG	generalizations	object		0.2		
fadD	generalizations	object		0.2		
wbbJ	generalizations	object		0.2		
mazE	generalizations	object		0.2		
rssA	generalizations	object		0.2		
ypfI	generalizations	object		0.2		
yhaC	generalizations	object		0.2		
zipA	generalizations	object		0.2		
essQ	generalizations	object		0.2		
insB-5	generalizations	object		0.2		
yjiS	generalizations	object		0.2		
aaeB	generalizations	object		0.2		
ycfT	generalizations	object		0.2		
mutL	generalizations	object		0.2		
araH	generalizations	object		0.2		
yjiL	generalizations	object		0.2		
yjfF	generalizations	object		0.2		
yiaY	generalizations	object		0.2		
ydfR	generalizations	object		0.2		
gyrB	generalizations	object		0.2		
lhr	generalizations	object		0.2		
abgB	generalizations	object		0.2		
cvrA	generalizations	object		0.2		
kefA	generalizations	object		0.2		
yfiQ	generalizations	object		0.2		
speE	generalizations	object		0.2		
puuC	generalizations	object		0.2		
rdoA	generalizations	object		0.2		
tcyJ	generalizations	object		0.2		
yiiF	generalizations	object		0.2		
tauD	generalizations	object		0.2		
yfcZ	generalizations	object		0.2		
sohB	generalizations	object		0.2		
emrB	generalizations	object		0.2		
yeeE	generalizations	object		0.2		
rhsE	generalizations	object		0.2		
yhhK	generalizations	object		0.2		
puuP	generalizations	object		0.2		
basS	generalizations	object		0.2		
suhB	generalizations	object		0.2		
yfgG	generalizations	object		0.2		
argG	generalizations	object		0.2		
dcuR	generalizations	object		0.2		
ybfP	generalizations	object		0.2		
intR	generalizations	object		0.2		
dmsC	generalizations	object		0.2		
exoX	generalizations	object		0.2		
atoE	generalizations	object		0.2		
ykfJ	generalizations	object		0.2		
xisD	generalizations	object		0.2		
dacD	generalizations	object		0.2		
glgA	generalizations	object		0.2		
dhaL	generalizations	object		0.2		
fabF	generalizations	object		0.2		
yfhL	generalizations	object		0.2		
ybfE	generalizations	object		0.2		
mltD	generalizations	object		0.2		
ygfA	generalizations	object		0.2		
wzb	generalizations	object		0.2		
yeaL	generalizations	object		0.2		
iraP	generalizations	object		0.2		
rnt	generalizations	object		0.2		
yihG	generalizations	object		0.2		
ompF	generalizations	object		0.2		
ypjK	generalizations	object		0.2		
ghrA	generalizations	object		0.2		
yhiM	generalizations	object		0.2		
pntB	generalizations	object		0.2		
yeiT	generalizations	object		0.2		
sgcB	generalizations	object		0.2		
ydiS	generalizations	object		0.2		
ompX	generalizations	object		0.2		
mdtQ	generalizations	object		0.2		
can	generalizations	object		0.2		
napC	generalizations	object		0.2		
yciC	generalizations	object		0.2		
cybC	generalizations	object		0.2		
ymgF	generalizations	object		0.2		
ybgO	generalizations	object		0.2		
yfjU	generalizations	object		0.2		
insB-4	generalizations	object		0.2		
gnsB	generalizations	object		0.2		
yjdQ	generalizations	object		0.2		
yggF	generalizations	object		0.2		
dnaX	generalizations	object		0.2		
ybeQ	generalizations	object		0.2		
yhbE	generalizations	object		0.2		
ppiD	generalizations	object		0.2		
fecC	generalizations	object		0.2		
tig	generalizations	object		0.2		
soxR	generalizations	object		0.2		
ybeM	generalizations	object		0.2		
yhaI	generalizations	object		0.2		
sseA	generalizations	object		0.2		
yjfY	generalizations	object		0.2		
dadA	generalizations	object		0.2		
sseB	generalizations	object		0.2		
ucpA	generalizations	object		0.2		
pnuC	generalizations	object		0.2		
yjhH	generalizations	object		0.2		
yrfF	generalizations	object		0.2		
fadB	generalizations	object		0.2		
yfcE	generalizations	object		0.2		
yhjR	generalizations	object		0.2		
envY	generalizations	object		0.2		
ypjA	generalizations	object		0.2		
yliI	generalizations	object		0.2		
ilvE	generalizations	object		0.2		
proC	generalizations	object		0.2		
yddK	generalizations	object		0.2		
ybbW	generalizations	object		0.2		
ybhR	generalizations	object		0.2		
yneF	generalizations	object		0.2		
ccmG	generalizations	object		0.2		
yicT	generalizations	object		0.2		
yaeB	generalizations	object		0.2		
visC	generalizations	object		0.2		
cheY	generalizations	object		0.2		
ssuB	generalizations	object		0.2		
sufI	generalizations	object		0.2		
mdtO	generalizations	object		0.2		
mqsR	generalizations	object		0.2		
aer	generalizations	object		0.2		
accA	generalizations	object		0.2		
artQ	generalizations	object		0.2		
ydjO	generalizations	object		0.2		
astE	generalizations	object		0.2		
ccmH	generalizations	object		0.2		
ispG	generalizations	object		0.2		
rpe	generalizations	object		0.2		
dpiA	generalizations	object		0.2		
hypC	generalizations	object		0.2		
feaR	generalizations	object		0.2		
yfjS	generalizations	object		0.2		
tesA	generalizations	object		0.2		
yeeY	generalizations	object		0.2		
ggt	generalizations	object		0.2		
yrbE	generalizations	object		0.2		
manZ	generalizations	object		0.2		
yibK	generalizations	object		0.2		
yecR	generalizations	object		0.2		
yddG	generalizations	object		0.2		
aat	generalizations	object		0.2		
hokC	generalizations	object		0.2		
yohN	generalizations	object		0.2		
yjiR	generalizations	object		0.2		
yjhV	generalizations	object		0.2		
gabD	generalizations	object		0.2		
ycaQ	generalizations	object		0.2		
phnC	generalizations	object		0.2		
rpoZ	generalizations	object		0.2		
mnmG	generalizations	object		0.2		
tpiA	generalizations	object		0.2		
yggE	generalizations	object		0.2		
minD	generalizations	object		0.2		
prkB	generalizations	object		0.2		
kdgT	generalizations	object		0.2		
melA	generalizations	object		0.2		
proP	generalizations	object		0.2		
tfaS	generalizations	object		0.2		
yebF	generalizations	object		0.2		
yohK	generalizations	object		0.2		
ydeT	generalizations	object		0.2		
insF-5	generalizations	object		0.2		
dxr	generalizations	object		0.2		
csgD	generalizations	object		0.2		
pabC	generalizations	object		0.2		
yfhR	generalizations	object		0.2		
xthA	generalizations	object		0.2		
tpr	generalizations	object		0.2		
afuB	generalizations	object		0.2		
ybiH	generalizations	object		0.2		
ilvI	generalizations	object		0.2		
yebN	generalizations	object		0.2		
yiiG	generalizations	object		0.2		
dsbG	generalizations	object		0.2		
yrdE	generalizations	object		0.2		
tesB	generalizations	object		0.2		
yjhQ	generalizations	object		0.2		
gidB	generalizations	object		0.2		
pnp	generalizations	object		0.2		
livJ	generalizations	object		0.2		
uxuA	generalizations	object		0.2		
nfrB	generalizations	object		0.2		
ymgB	generalizations	object		0.2		
creA	generalizations	object		0.2		
modB	generalizations	object		0.2		
hycD	generalizations	object		0.2		
aphA	generalizations	object		0.2		
acrF	generalizations	object		0.2		
ydhM	generalizations	object		0.2		
rbsD	generalizations	object		0.2		
moeA	generalizations	object		0.2		
ygiD	generalizations	object		0.2		
yraQ	generalizations	object		0.2		
insF-1	generalizations	object		0.2		
yifB	generalizations	object		0.2		
yicH	generalizations	object		0.2		
rfaD	generalizations	object		0.2		
bssR	generalizations	object		0.2		
ygaP	generalizations	object		0.2		
intE	generalizations	object		0.2		
rsmE	generalizations	object		0.2		
nadB	generalizations	object		0.2		
yeeX	generalizations	object		0.2		
cusS	generalizations	object		0.2		
ymfM	generalizations	object		0.2		
nanK	generalizations	object		0.2		
dinD	generalizations	object		0.2		
wcaK	generalizations	object		0.2		
yncB	generalizations	object		0.2		
srlB	generalizations	object		0.2		
acrB	generalizations	object		0.2		
malM	generalizations	object		0.2		
ubiX	generalizations	object		0.2		
hemH	generalizations	object		0.2		
ubiF	generalizations	object		0.2		
rpsE	generalizations	object		0.2		
nemA	generalizations	object		0.2		
yjdK	generalizations	object		0.2		
uspB	generalizations	object		0.2		
ompW	generalizations	object		0.2		
infB	generalizations	object		0.2		
ypaA	generalizations	object		0.2		
polB	generalizations	object		0.2		
rplT	generalizations	object		0.2		
yihI	generalizations	object		0.2		
adiC	generalizations	object		0.2		
mcrC	generalizations	object		0.2		
yahO	generalizations	object		0.2		
ydcD	generalizations	object		0.2		
clpA	generalizations	object		0.2		
yqeC	generalizations	object		0.2		
yhdJ	generalizations	object		0.2		
ymfS	generalizations	object		0.2		
ydcC	generalizations	object		0.2		
yjfP	generalizations	object		0.2		
rplM	generalizations	object		0.2		
hyfB	generalizations	object		0.2		
yceG	generalizations	object		0.2		
chbG	generalizations	object		0.2		
otsB	generalizations	object		0.2		
pgsA	generalizations	object		0.2		
yajI	generalizations	object		0.2		
ykgH	generalizations	object		0.2		
gsiA	generalizations	object		0.2		
yodC	generalizations	object		0.2		
cmtB	generalizations	object		0.2		
yhfW	generalizations	object		0.2		
wcaJ	generalizations	object		0.2		
kdsD	generalizations	object		0.2		
yccX	generalizations	object		0.2		
ygaZ	generalizations	object		0.2		
ymbA	generalizations	object		0.2		
ycjT	generalizations	object		0.2		
grxA	generalizations	object		0.2		
manX	generalizations	object		0.2		
miaB	generalizations	object		0.2		
htpX	generalizations	object		0.2		
iap	generalizations	object		0.2		
ykfB	generalizations	object		0.2		
asnA	generalizations	object		0.2		
osmE	generalizations	object		0.2		
yhhT	generalizations	object		0.2		
ygfF	generalizations	object		0.2		
ycbZ	generalizations	object		0.2		
pyrI	generalizations	object		0.2		
yghE	generalizations	object		0.2		
yfaV	generalizations	object		0.2		
prpE	generalizations	object		0.2		
fruA	generalizations	object		0.2		
pdxK	generalizations	object		0.2		
ybeX	generalizations	object		0.2		
hscA	generalizations	object		0.2		
ybhB	generalizations	object		0.2		
ymfL	generalizations	object		0.2		
ydeP	generalizations	object		0.2		
elbB	generalizations	object		0.2		
yjfM	generalizations	object		0.2		
thiH	generalizations	object		0.2		
ycgB	generalizations	object		0.2		
lysA	generalizations	object		0.2		
entC	generalizations	object		0.2		
nfo	generalizations	object		0.2		
msbA	generalizations	object		0.2		
mdtH	generalizations	object		0.2		
pbl	generalizations	object		0.2		
sieB	generalizations	object		0.2		
yceJ	generalizations	object		0.2		
ybgA	generalizations	object		0.2		
feoA	generalizations	object		0.2		
frlB	generalizations	object		0.2		
eda	generalizations	object		0.2		
lamB	generalizations	object		0.2		
yiaU	generalizations	object		0.2		
rseB	generalizations	object		0.2		
sulA	generalizations	object		0.2		
yeeA	generalizations	object		0.2		
yceI	generalizations	object		0.2		
yobB	generalizations	object		0.2		
yceB	generalizations	object		0.2		
xapB	generalizations	object		0.2		
ydhW	generalizations	object		0.2		
yhbW	generalizations	object		0.2		
slyD	generalizations	object		0.2		
insC-5	generalizations	object		0.2		
yahF	generalizations	object		0.2		
frc	generalizations	object		0.2		
ycgG	generalizations	object		0.2		
insL-3	generalizations	object		0.2		
entA	generalizations	object		0.2		
ylbA	generalizations	object		0.2		
yjgB	generalizations	object		0.2		
hemF	generalizations	object		0.2		
yeiM	generalizations	object		0.2		
sufE	generalizations	object		0.2		
prfB	generalizations	object		0.2		
frdB	generalizations	object		0.2		
rpiA	generalizations	object		0.2		
ftnB	generalizations	object		0.2		
fhuF	generalizations	object		0.2		
osmB	generalizations	object		0.2		
aldB	generalizations	object		0.2		
nudH	generalizations	object		0.2		
ydgD	generalizations	object		0.2		
yfdX	generalizations	object		0.2		
ylcF	generalizations	object		0.2		
grpE	generalizations	object		0.2		
hofN	generalizations	object		0.2		
narU	generalizations	object		0.2		
ydcK	generalizations	object		0.2		
spr	generalizations	object		0.2		
fruR	generalizations	object		0.2		
ymdF	generalizations	object		0.2		
fdnI	generalizations	object		0.2		
murC	generalizations	object		0.2		
focB	generalizations	object		0.2		
ymgG	generalizations	object		0.2		
sspB	generalizations	object		0.2		
yidI	generalizations	object		0.2		
tfaE	generalizations	object		0.2		
fadR	generalizations	object		0.2		
cspC	generalizations	object		0.2		
yfjD	generalizations	object		0.2		
motB	generalizations	object		0.2		
yajG	generalizations	object		0.2		
gspI	generalizations	object		0.2		
yjeH	generalizations	object		0.2		
oppC	generalizations	object		0.2		
citC	generalizations	object		0.2		
ubiA	generalizations	object		0.2		
ppiB	generalizations	object		0.2		
ftsY	generalizations	object		0.2		
emrE	generalizations	object		0.2		
cheW	generalizations	object		0.2		
gltF	generalizations	object		0.2		
pspF	generalizations	object		0.2		
adk	generalizations	object		0.2		
mscS	generalizations	object		0.2		
