Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:gene:deoC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phleomycin		1.0		
concept:gene:ybgL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Clarythromycin		1.0		
concept:gene:sspA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cerulenin		1.0		
concept:gene:galE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:ylcG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:sspA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:lpxD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:yejG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Apramycin		1.0		
concept:gene:rseA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:acrA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cerulenin		1.0		
concept:gene:tatC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:mdtM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Furaltadone		1.0		
concept:gene:rfaH	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Triclosan		1.0		
concept:gene:purA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:ybcL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:rimP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Thiolactomycin		1.0		
concept:gene:asmA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:iscS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Oxacillin		1.0		
concept:gene:pal	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:ypdB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:nagC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:glnD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:hupA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:gcvP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Sulfamethizole		1.0		
concept:gene:serC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bacitracin		1.0		
concept:gene:ygfI	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:ycbJ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phleomycin		1.0		
concept:gene:waaY	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:recA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:pyrE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:marA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Tylosin		1.0		
concept:gene:pyrD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:degP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Nigericin		1.0		
concept:gene:rfaE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:ohsC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:agaR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:dsbB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:ubiG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:ymfT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Triclosan		1.0		
concept:gene:tolQ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:yaiS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:aspA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cerulenin		1.0		
concept:gene:csiD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:zapB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:pldB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Amoxicillin		1.0		
concept:gene:purD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Carbenicillin		1.0		
concept:gene:dsbC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:pdxA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:surA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:arcZ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:sdaC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:ycgX	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Levofloxacin		1.0		
concept:gene:recJ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:yfiH	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:rcsF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:rusA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bacitracin		1.0		
concept:gene:hisJ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bicyclomycin		1.0		
concept:gene:lexA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:appA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:bcr	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefoperazone		1.0		
concept:gene:dusB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:cysB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:cbpA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:yfaW	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:dusB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:lpd	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefoxitin		1.0		
concept:gene:gltD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:ompC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:mcaS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:rsmA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Clarythromycin		1.0		
concept:gene:mlaE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:rseA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:kdpF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Hygromycin#SPACE#B		1.0		
concept:gene:tusC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:rstA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Troleandomycin		1.0		
concept:gene:rayT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bicyclomycin		1.0		
concept:gene:cysB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bicyclomycin		1.0		
concept:gene:guaB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:yidD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:tabA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:rlpA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:agaI	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:recG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:lpxL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:ydfV	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:cpxR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Geneticin		1.0		
concept:gene:fimC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Clarythromycin		1.0		
concept:gene:ybeD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:atpA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:nlpI	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Azithromycin		1.0		
concept:gene:lpcA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bacitracin		1.0		
concept:gene:nlpD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:dinG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:hslV	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:rplI	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Azithromycin		1.0		
concept:gene:yhdP	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:bamB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:rpmF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mitomycin#SPACE#C		1.0		
concept:gene:xerC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxorubicin		1.0		
concept:gene:mltD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:hscA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:tolC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:ycgV	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:seqA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:mlaA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Trimethoprim		1.0		
concept:gene:tfaD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:yciM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Sulfamethoxazole		1.0		
concept:gene:gor	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:fadD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:bluR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:minC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:ydeU	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phleomycin		1.0		
concept:gene:ruvA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:ampG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:deoB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:tusC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:acrZ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:bamE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spiramycin		1.0		
concept:gene:ohsC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:rfaG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:fepG	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:dedA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline#SPACE#hyclate		1.0		
concept:gene:tatB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cefsulodin		1.0		
concept:gene:bglH	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Spectinomycin		1.0		
concept:gene:pyrC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bacitracin		1.0		
concept:gene:glpT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bicyclomycin		1.0		
concept:gene:atpE	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phleomycin		1.0		
concept:gene:bdm	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Nafcillin		1.0		
concept:gene:glnL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:mlaF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:lon	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Radicicol		1.0		
concept:gene:dauA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:rseB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline#SPACE#hyclate		1.0		
concept:gene:yggT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Bicyclomycin		1.0		
concept:gene:arcA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Geneticin		1.0		
concept:gene:rcsD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:ybgS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Lomefloxacin		1.0		
concept:gene:gcvA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Sulfamethizole		1.0		
concept:gene:fur	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:pyrB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:gpmM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:ompA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Azithromycin		1.0		
concept:gene:atpF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Amoxicillin		1.0		
concept:gene:tolQ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:acrR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:acrB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:ydaC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Phenethicillin		1.0		
concept:gene:ompF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Neomycin		1.0		
concept:gene:purL	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:recO	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:ppiB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:yggT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:purM	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Carbenicillin		1.0		
concept:gene:tolC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:yhfS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:waaF	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Polymyxin#SPACE#B		1.0		
concept:gene:glnD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Cephradine		1.0		
concept:gene:acrA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Azithromycin		1.0		
concept:gene:ntrC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Paromomycin		1.0		
concept:gene:rbsK	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mitomycin#SPACE#C		1.0		
concept:gene:gyrA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Levofloxacin		1.0		
concept:gene:yeiU	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline#SPACE#hyclate		1.0		
concept:gene:rcsB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Mecillinam		1.0		
concept:gene:yciT	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Metronidazole		1.0		
concept:gene:hdfR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:dsrB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Minocycline		1.0		
concept:gene:tolB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Carbenicillin		1.0		
concept:gene:menA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:rpsU	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Norfloxacin		1.0		
concept:gene:bamC	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Dactinomycin		1.0		
concept:gene:phoQ	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Doxycycline		1.0		
concept:gene:dadA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Ceftazidime		1.0		
concept:gene:rpoS	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Hygromycin#SPACE#		1.0		
concept:gene:yfeD	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:xapR	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:ygbK	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Fosfomycin		1.0		
concept:gene:ynjA	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:CHIR090		1.0		
concept:gene:ycjU	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Colistin		1.0		
concept:gene:ptrB	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Streptonigrin		1.0		
concept:gene:glk	concept:confers#SPACE#resistance#SPACE#to#SPACE#antibiotic	concept:antibiotic:Amoxicillin		1.0		
