Entity	Relation	Value	Iteration of Promotion	Probability	Source	Candidate Source
concept:glycine#SPACE#biosynthetic#SPACE#process#SPACE#from#SPACE#serine	generalizations	concept:biological_process		1.0		
concept:hyfD	generalizations	concept:gene		1.0		
concept:hyfE	generalizations	concept:gene		1.0		
concept:oligosaccharide#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:peptide#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:ykgL	generalizations	concept:gene		1.0		
concept:glycine#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:protein#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yqiC	generalizations	concept:gene		1.0		
concept:citE	generalizations	concept:gene		1.0		
concept:establishment#SPACE#of#SPACE#localization#SPACE#in#SPACE#cell	generalizations	concept:biological_process		1.0		
concept:mannose#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:appX	generalizations	concept:gene		1.0		
concept:scpC	generalizations	concept:gene		1.0		
concept:fucI	generalizations	concept:gene		1.0		
concept:homoserine#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:2'#COMMA#3'-cyclic-nucleotide#SPACE#2'-phosphodiesterase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:contractile#SPACE#ring#SPACE#localization	generalizations	concept:biological_process		1.0		
concept:dinQ	generalizations	concept:gene		1.0		
concept:mmuM	generalizations	concept:gene		1.0		
concept:rhtB	generalizations	concept:gene		1.0		
concept:ybcO	generalizations	concept:gene		1.0		
concept:yfgB	generalizations	concept:gene		1.0		
concept:yrbE	generalizations	concept:gene		1.0		
concept:phospholipase#SPACE#A2#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ygfO	generalizations	concept:gene		1.0		
concept:yraH	generalizations	concept:gene		1.0		
concept:accC	generalizations	concept:gene		1.0		
concept:bdm	generalizations	concept:gene		1.0		
concept:3-demethylubiquinone-n#SPACE#3-O-methyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:negative#SPACE#regulation#SPACE#of#SPACE#phosphate#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:yebB	generalizations	concept:gene		1.0		
concept:rlpA	generalizations	concept:gene		1.0		
concept:lnt	generalizations	concept:gene		1.0		
concept:yeaG	generalizations	concept:gene		1.0		
concept:rutA	generalizations	concept:gene		1.0		
concept:dgsA	generalizations	concept:gene		1.0		
concept:bioD1	generalizations	concept:gene		1.0		
concept:cystathionine#SPACE#gamma-lyase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ADP-sugar#SPACE#diphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:diamine#SPACE#N-acetyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:regulation#SPACE#of#SPACE#cell#SPACE#shape	generalizations	concept:biological_process		1.0		
concept:ppsR	generalizations	concept:gene		1.0		
concept:Gentamicins	generalizations	concept:antibiotic		1.0		
concept:SRP-dependent#SPACE#cotranslational#SPACE#protein#SPACE#targeting#SPACE#to#SPACE#membrane#COMMA##SPACE#translocation	generalizations	concept:biological_process		1.0		
concept:transcription#SPACE#factor#SPACE#activity#COMMA##SPACE#bacterial-type#SPACE#RNA#SPACE#polymerase#SPACE#proximal#SPACE#promoter#SPACE#sequence-specific#SPACE#DNA#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:yidP	generalizations	concept:gene		1.0		
concept:septin#SPACE#ring#SPACE#assembly	generalizations	concept:biological_process		1.0		
concept:ccmC	generalizations	concept:gene		1.0		
concept:L-arabinose#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:yjiQ	generalizations	concept:gene		1.0		
concept:riboflavin#SPACE#kinase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:torZ	generalizations	concept:gene		1.0		
concept:regulation#SPACE#of#SPACE#cellular#SPACE#component#SPACE#movement	generalizations	concept:biological_process		1.0		
concept:S-formylglutathione#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ycfD	generalizations	concept:gene		1.0		
concept:mqo	generalizations	concept:gene		1.0		
concept:enterobactin#SPACE#synthetase#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:nucleoside-triphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:sulfur#SPACE#amino#SPACE#acid#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:alcohol#SPACE#oxidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ferric#SPACE#iron#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:ntrB	generalizations	concept:gene		1.0		
concept:uspF	generalizations	concept:gene		1.0		
concept:ynfM	generalizations	concept:gene		1.0		
concept:DNA#SPACE#replication#SPACE#termination#SPACE#region	generalizations	concept:cellular_component		1.0		
concept:acetyl-CoA#SPACE#hydrolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:rplD	generalizations	concept:gene		1.0		
concept:formyltetrahydrofolate#SPACE#deformylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:response#SPACE#to#SPACE#antibiotic	generalizations	concept:molecular_function		1.0		
concept:pdeH	generalizations	concept:gene		1.0		
concept:yoaK	generalizations	concept:gene		1.0		
concept:magnesium#SPACE#ion#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:dihydroorotase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yjdL	generalizations	concept:gene		1.0		
concept:lysC	generalizations	concept:gene		1.0		
concept:periplasmic#SPACE#space	generalizations	concept:cellular_component		1.0		
concept:regulation#SPACE#of#SPACE#transcription#COMMA##SPACE#DNA-templated	generalizations	concept:biological_process		1.0		
concept:hypoxanthine#SPACE#oxidation	generalizations	concept:biological_process		1.0		
concept:yjbE	generalizations	concept:gene		1.0		
concept:yehY	generalizations	concept:gene		1.0		
concept:folM	generalizations	concept:gene		1.0		
concept:frmR	generalizations	concept:gene		1.0		
concept:eutB	generalizations	concept:gene		1.0		
concept:xapR	generalizations	concept:gene		1.0		
concept:yjfY	generalizations	concept:gene		1.0		
concept:RNA#SPACE#phosphodiester#SPACE#bond#SPACE#hydrolysis#COMMA##SPACE#endonucleolytic	generalizations	concept:biological_process		1.0		
concept:ycjQ	generalizations	concept:gene		1.0		
concept:yzfA	generalizations	concept:gene		1.0		
concept:peptidoglycan#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:rcbA	generalizations	concept:gene		1.0		
concept:phnI	generalizations	concept:gene		1.0		
concept:rspB	generalizations	concept:gene		1.0		
concept:pyruvate#SPACE#dehydrogenase#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:yfdL	generalizations	concept:gene		1.0		
concept:ycbR	generalizations	concept:gene		1.0		
concept:ybbA	generalizations	concept:gene		1.0		
concept:yfiE	generalizations	concept:gene		1.0		
concept:glutamate#SPACE#decarboxylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:sfmF	generalizations	concept:gene		1.0		
concept:ymfQ	generalizations	concept:gene		1.0		
concept:triglyceride#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:gfcC	generalizations	concept:gene		1.0		
concept:high-affinity#SPACE#tryptophan#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ygcU	generalizations	concept:gene		1.0		
concept:response#SPACE#to#SPACE#cadmium#SPACE#ion	generalizations	concept:biological_process		1.0		
concept:'de#SPACE#novo'#SPACE#NAD#SPACE#biosynthetic#SPACE#process#SPACE#from#SPACE#aspartate	generalizations	concept:biological_process		1.0		
concept:UTP#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:rhsA	generalizations	concept:gene		1.0		
concept:yqaC	generalizations	concept:gene		1.0		
concept:tRNA#SPACE#nucleotidyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:alr	generalizations	concept:gene		1.0		
concept:ycfL	generalizations	concept:gene		1.0		
concept:yhhN	generalizations	concept:gene		1.0		
concept:glycerophospholipid#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:core#SPACE#promoter#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:fecE	generalizations	concept:gene		1.0		
concept:aromatic-amino-acid#SEMICOLON#2-oxoglutarate#SPACE#aminotransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:protoporphyrinogen#SPACE#IX#SPACE#metabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:long-chain#SPACE#fatty#SPACE#acid#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:selB	generalizations	concept:gene		1.0		
concept:abrB	generalizations	concept:gene		1.0		
concept:protein-lysine#SPACE#lysyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:Spiramycin	generalizations	concept:antibiotic		1.0		
concept:ymjC	generalizations	concept:gene		1.0		
concept:chaperone-mediated#SPACE#protein#SPACE#complex#SPACE#assembly	generalizations	concept:biological_process		1.0		
concept:ebgR	generalizations	concept:gene		1.0		
concept:2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid#SPACE#synthase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:fepD	generalizations	concept:gene		1.0		
concept:atpB	generalizations	concept:gene		1.0		
concept:glsB	generalizations	concept:gene		1.0		
concept:msrP	generalizations	concept:gene		1.0		
concept:NADPH#SPACE#regeneration	generalizations	concept:biological_process		1.0		
concept:yjhU	generalizations	concept:gene		1.0		
concept:yfdC	generalizations	concept:gene		1.0		
concept:yncB	generalizations	concept:gene		1.0		
concept:insD-4	generalizations	concept:gene		1.0		
concept:lytic#SPACE#transglycosylase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cation#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:exodeoxyribonuclease#SPACE#III#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cytosol	generalizations	concept:cellular_component		1.0		
concept:carbon#SPACE#dioxide#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:DNA#SPACE#helicase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:deoxyribose-phosphate#SPACE#aldolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:kdpB	generalizations	concept:gene		1.0		
concept:uxaB	generalizations	concept:gene		1.0		
concept:coenzyme#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:yidJ	generalizations	concept:gene		1.0		
concept:azobenzene#SPACE#reductase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:GTP#SPACE#cyclohydrolase#SPACE#II#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yicI	generalizations	concept:gene		1.0		
concept:nitrate#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yphH	generalizations	concept:gene		1.0		
concept:yhbW	generalizations	concept:gene		1.0		
concept:fabZ	generalizations	concept:gene		1.0		
concept:yhfA	generalizations	concept:gene		1.0		
concept:fdx	generalizations	concept:gene		1.0		
concept:yhhX	generalizations	concept:gene		1.0		
concept:ferrous#SPACE#iron#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:infA	generalizations	concept:gene		1.0		
concept:speA	generalizations	concept:gene		1.0		
concept:methyl-CpG#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:idnK	generalizations	concept:gene		1.0		
concept:obsolete#SPACE#signal#SPACE#transducer#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:narH	generalizations	concept:gene		1.0		
concept:yebW	generalizations	concept:gene		1.0		
concept:mrcA	generalizations	concept:gene		1.0		
concept:ydhV	generalizations	concept:gene		1.0		
concept:ATPase-coupled#SPACE#molybdate#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:proline#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:trxB	generalizations	concept:gene		1.0		
concept:rffD	generalizations	concept:gene		1.0		
concept:aaeA	generalizations	concept:gene		1.0		
concept:ygdI	generalizations	concept:gene		1.0		
concept:ftsH	generalizations	concept:gene		1.0		
concept:pyrL	generalizations	concept:gene		1.0		
concept:xylulose#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:ymgC	generalizations	concept:gene		1.0		
concept:putrescine#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:tusC	generalizations	concept:gene		1.0		
concept:yqaE	generalizations	concept:gene		1.0		
concept:glcE	generalizations	concept:gene		1.0		
concept:bacterial-type#SPACE#flagellum#SPACE#organization	generalizations	concept:biological_process		1.0		
concept:response#SPACE#to#SPACE#lithium#SPACE#ion	generalizations	concept:biological_process		1.0		
concept:yqjE	generalizations	concept:gene		1.0		
concept:glycerol-3-phosphate#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:pore#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:GMP#SPACE#salvage	generalizations	concept:biological_process		1.0		
concept:gspC	generalizations	concept:gene		1.0		
concept:dedD	generalizations	concept:gene		1.0		
concept:rsxG	generalizations	concept:gene		1.0		
concept:pqiA	generalizations	concept:gene		1.0		
concept:uhpT	generalizations	concept:gene		1.0		
concept:yadR	generalizations	concept:gene		1.0		
concept:Cefmetazole	generalizations	concept:antibiotic		1.0		
concept:dTDP-4-dehydrorhamnose#SPACE#3#COMMA#5-epimerase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:lomR	generalizations	concept:gene		1.0		
concept:response#SPACE#to#SPACE#oxidative#SPACE#stress	generalizations	concept:biological_process		1.0		
concept:exonuclease#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:identical#SPACE#protein#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:rcdA	generalizations	concept:gene		1.0		
concept:hrpA	generalizations	concept:gene		1.0		
concept:6-deoxy-6-sulfofructose-1-phosphate#SPACE#aldolase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:inorganic#SPACE#diphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:metC	generalizations	concept:gene		1.0		
concept:L-rhamnose#SPACE#isomerase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:L-threonine#SPACE#3-dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:transposition#COMMA##SPACE#DNA-mediated	generalizations	concept:biological_process		1.0		
concept:pyruvate#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:response#SPACE#to#SPACE#ethanol	generalizations	concept:biological_process		1.0		
concept:rpmG	generalizations	concept:gene		1.0		
concept:yehU	generalizations	concept:gene		1.0		
concept:tRNA#SPACE#dimethylallyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:6-phospho-beta-glucosidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:chpA	generalizations	concept:gene		1.0		
concept:serine#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:feaB	generalizations	concept:gene		1.0		
concept:sdhE	generalizations	concept:gene		1.0		
concept:acylphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:yncI	generalizations	concept:gene		1.0		
concept:3-isopropylmalate#SPACE#dehydratase#SPACE#complex	generalizations	concept:cellular_component		1.0		
concept:gatZ	generalizations	concept:gene		1.0		
concept:nhoA	generalizations	concept:gene		1.0		
concept:cytidine#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:ydiR	generalizations	concept:gene		1.0		
concept:CTP#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:alsA	generalizations	concept:gene		1.0		
concept:peptidyl-serine#SPACE#phosphorylation	generalizations	concept:biological_process		1.0		
concept:tRNA#SPACE#(adenine-N6-)-methyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:nucleobase-containing#SPACE#small#SPACE#molecule#SPACE#interconversion	generalizations	concept:biological_process		1.0		
concept:nucleotide#SPACE#diphosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:ysdC	generalizations	concept:gene		1.0		
concept:ymjA	generalizations	concept:gene		1.0		
concept:rpsJ	generalizations	concept:gene		1.0		
concept:ydeK	generalizations	concept:gene		1.0		
concept:yccW	generalizations	concept:gene		1.0		
concept:yihF	generalizations	concept:gene		1.0		
concept:hybO	generalizations	concept:gene		1.0		
concept:ydfE	generalizations	concept:gene		1.0		
concept:ydfJ	generalizations	concept:gene		1.0		
concept:methylenetetrahydrofolate#SPACE#reductase#SPACE#(NAD(P)H)#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:organophosphate#SEMICOLON#inorganic#SPACE#phosphate#SPACE#antiporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:wecC	generalizations	concept:gene		1.0		
concept:yfbN	generalizations	concept:gene		1.0		
concept:dipeptide#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:rRNA#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:yihQ	generalizations	concept:gene		1.0		
concept:pyridoxal#SPACE#phosphatase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:porphyrin-containing#SPACE#compound#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:sieB	generalizations	concept:gene		1.0		
concept:ycfT	generalizations	concept:gene		1.0		
concept:yafD	generalizations	concept:gene		1.0		
concept:UDP-4-deoxy-4-formamido-beta-L-arabinopyranose#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:O-phospho-L-serine#SEMICOLON#2-oxoglutarate#SPACE#aminotransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:gabD	generalizations	concept:gene		1.0		
concept:glucuronosyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:[acyl-carrier-protein]#SPACE#S-malonyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:cellular#SPACE#response#SPACE#to#SPACE#mercury#SPACE#ion	generalizations	concept:biological_process		1.0		
concept:chorismate#SPACE#lyase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:regulation#SPACE#of#SPACE#cellular#SPACE#pH	generalizations	concept:biological_process		1.0		
concept:trpS	generalizations	concept:gene		1.0		
concept:cytochrome#SPACE#bo3#SPACE#ubiquinol#SPACE#oxidase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:spermidine#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:amino#SPACE#acid#SPACE#transmembrane#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:nuoK	generalizations	concept:gene		1.0		
concept:ogrK	generalizations	concept:gene		1.0		
concept:intD	generalizations	concept:gene		1.0		
concept:mutM	generalizations	concept:gene		1.0		
concept:O-palmitoyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:mreC	generalizations	concept:gene		1.0		
concept:N-acetylglucosamine#SPACE#transmembrane#SPACE#transporter#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:qorB	generalizations	concept:gene		1.0		
concept:phosphate#SPACE#ion#SPACE#transport	generalizations	concept:biological_process		1.0		
concept:ykfK	generalizations	concept:gene		1.0		
concept:Kanamycin	generalizations	concept:antibiotic		1.0		
concept:greB	generalizations	concept:gene		1.0		
concept:dihydrofolate#SPACE#biosynthetic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:mdtO	generalizations	concept:gene		1.0		
concept:phnN	generalizations	concept:gene		1.0		
concept:GTPase#SPACE#activating#SPACE#protein#SPACE#binding	generalizations	concept:molecular_function		1.0		
concept:hisB	generalizations	concept:gene		1.0		
concept:cellular#SPACE#catabolic#SPACE#process	generalizations	concept:biological_process		1.0		
concept:sgcR	generalizations	concept:gene		1.0		
concept:oppB	generalizations	concept:gene		1.0		
concept:protein-heme#SPACE#linkage	generalizations	concept:biological_process		1.0		
concept:aslA	generalizations	concept:gene		1.0		
concept:intF	generalizations	concept:gene		1.0		
concept:ybiI	generalizations	concept:gene		1.0		
concept:panD	generalizations	concept:gene		1.0		
concept:engB	generalizations	concept:gene		1.0		
concept:lipA	generalizations	concept:gene		1.0		
concept:rRNA#SPACE#cytidine#SPACE#N-acetyltransferase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:bcsZ	generalizations	concept:gene		1.0		
concept:ybhL	generalizations	concept:gene		1.0		
concept:erythrose-4-phosphate#SPACE#dehydrogenase#SPACE#activity	generalizations	concept:molecular_function		1.0		
concept:msrB	generalizations	concept:gene		1.0		
