fold	Antibiotic	genes_resist	test_edges	dev_edges	edges_in_train	confer_edges_in_train
fold_3	Cefoxitin	14	0	2	12	1
fold_3	Rifampin	12	0	0	12	0
fold_3	Geneticin	5	1	1	3	3
fold_3	Paromomycin	5	3	0	2	2
fold_3	Troleandomycin	4	1	0	3	3
fold_3	Tetracycline	3	1	0	2	2
fold_3	Bacitracin	51	12	7	32	32
fold_3	Dactinomycin	45	6	6	33	33
fold_3	Nigericin	4	2	0	2	2
fold_3	Phleomycin	32	7	2	23	23
fold_3	Tunicamycin	13	1	1	11	11
fold_3	Spiramycin	3	0	0	3	3
fold_3	Vancomycin	13	2	2	9	9
fold_3	Cefoperazone	1	0	0	1	1
fold_3	Oxytetracycline	1	1	0	0	0
fold_3	Rolitetracycline	1	0	0	1	1
fold_3	Sulfachloropyridazine	1	0	0	1	1
fold_3	Sulfathiazole	2	0	0	2	2
fold_3	Sulfisoxazole	1	0	0	1	1
fold_3	Cefazolin	1	0	0	1	1
fold_3	Cephalothin	1	1	0	0	0
fold_3	Nafcillin	1	0	1	0	0
fold_3	Penicillin#SPACE#G	1	0	0	1	1
fold_3	Kanamycin	97	11	3	83	34
fold_3	Lincomycin	2	0	0	2	2
fold_3	Dihydrostreptomycin	1	0	0	1	1
fold_3	Josamycin	2	0	1	1	1
fold_3	Hygromycin#SPACE#B	8	5	1	2	2
fold_3	Sulfamethizole	10	1	1	8	8
fold_3	Blasticidin#SPACE#S	2	0	0	2	2
fold_3	Bleomycin	3	2	0	1	1
fold_3	Polymyxin#SPACE#B	16	3	1	12	12
fold_3	Enoxacin	4	0	0	4	3
fold_3	Bicyclomycin	17	2	0	15	14
fold_3	Metronidazole	39	7	4	28	28
fold_3	Sulfamethoxazole	32	7	5	20	20
fold_3	Norfloxacin	41	5	0	36	4
fold_3	Rifamycin#SPACE#SV	2	0	0	2	2
fold_3	Cefamandole	2	1	0	1	1
fold_3	Sulfamonomethoxine	2	0	0	2	2
fold_3	Streptomycin	7	2	1	4	3
fold_3	Fusidic#SPACE#acid	1	0	0	1	0
fold_3	Capreomycin	2	0	0	2	2
fold_3	Levofloxacin	12	2	1	9	9
fold_3	Ciprofloxacin	3	0	0	3	0
fold_3	Chlortetracycline	1	0	0	1	1
fold_3	Radicicol	3	1	1	1	1
fold_3	Puromycin	1	0	0	1	1
fold_3	Oxycarboxin	1	0	0	1	1
fold_3	Sulfadiazine	2	0	0	2	2
fold_3	Sulfanilamide	1	0	0	1	1
fold_3	Ofloxacin	1	0	0	1	1
fold_3	Penimepicycline	2	1	0	1	1
fold_3	Tylosin	1	1	0	0	0
fold_3	Cloxacillin	3	1	0	2	2
fold_3	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	0	0	1	1
fold_3	Furaltadone	2	0	0	2	2
fold_3	Tinidazole	2	0	0	2	2
fold_3	Sulfamethazine	2	1	0	1	1
fold_3	Hygromycin#SPACE#	1	0	0	1	1
fold_3	Cefmetazole	1	0	0	1	1
fold_3	Cefuroxime	1	1	0	0	0
fold_3	Moxalactam	1	0	0	1	1
fold_3	Phenethicillin	1	0	0	1	1
fold_3	Oleandomycin	1	0	0	1	1
fold_3	Apramycin	1	0	0	1	1
fold_3	Sisomicin	1	0	0	1	1
fold_3	Gentamicins	1	1	0	0	0
fold_3	Ornidazole	1	0	0	1	1
fold_4	Thiolactomycin	24	6	0	18	18
fold_4	Novobiocin	37	9	1	27	27
fold_4	Neomycin	72	12	6	54	54
fold_4	Azithromycin	35	9	2	24	24
fold_4	Carbenicillin	27	5	3	19	19
fold_4	Cephradine	72	17	5	50	50
fold_4	Cerulenin	18	6	2	10	10
fold_4	Chloramphenicol	12	2	2	8	8
fold_4	Clarythromycin	32	7	1	24	24
fold_4	Doxorubicin	7	0	1	6	6
fold_4	Doxycycline	62	13	5	44	44
fold_4	Mecillinam	59	10	4	45	45
fold_4	Minocycline	52	8	8	36	36
fold_4	Mitomycin#SPACE#C	31	8	2	21	21
fold_4	Oxacillin	27	4	6	17	17
fold_4	Streptonigrin	53	7	4	42	42
fold_4	Triclosan	23	7	1	15	14
fold_4	CHIR090	72	14	7	51	51
fold_4	Doxycycline#SPACE#hyclate	22	5	1	16	16
fold_4	Lomefloxacin	53	10	6	37	37
fold_4	Colistin	59	7	3	49	49
fold_4	Ampicillin	20	0	0	20	1
fold_4	Trimethoprim	10	5	0	5	5
fold_4	Fosfomycin	70	14	5	51	51
fold_4	Amoxicillin	51	8	2	41	41
fold_4	Spectinomycin	47	10	4	33	33
fold_4	Ceftazidime	52	11	2	39	39
fold_4	Cefsulodin	99	17	13	65	65
fold_4	Cefoxitin	14	1	0	13	2
fold_4	Rifampin	12	0	0	12	0
fold_4	Geneticin	5	0	1	4	4
fold_4	Paromomycin	5	0	0	5	5
fold_4	Troleandomycin	4	0	0	4	4
fold_4	Tetracycline	3	1	0	2	2
fold_4	Bacitracin	51	10	4	37	37
fold_4	Dactinomycin	45	12	1	32	32
fold_4	Nigericin	4	0	0	4	4
fold_4	Phleomycin	32	7	1	24	24
fold_4	Tunicamycin	13	0	0	13	13
fold_4	Spiramycin	3	0	0	3	3
fold_4	Vancomycin	13	1	1	11	11
fold_4	Cefoperazone	1	0	0	1	1
fold_4	Oxytetracycline	1	0	0	1	1
fold_4	Rolitetracycline	1	0	0	1	1
fold_4	Sulfachloropyridazine	1	1	0	0	0
fold_4	Sulfathiazole	2	0	0	2	2
fold_4	Sulfisoxazole	1	1	0	0	0
fold_4	Cefazolin	1	0	0	1	1
fold_4	Cephalothin	1	0	0	1	1
fold_4	Nafcillin	1	0	0	1	1
fold_4	Penicillin#SPACE#G	1	0	0	1	1
fold_4	Kanamycin	97	13	4	80	31
fold_4	Lincomycin	2	0	0	2	2
fold_4	Dihydrostreptomycin	1	0	0	1	1
fold_4	Josamycin	2	1	0	1	1
fold_4	Hygromycin#SPACE#B	8	1	1	6	6
fold_4	Sulfamethizole	10	3	1	6	6
fold_4	Blasticidin#SPACE#S	2	1	0	1	1
fold_4	Bleomycin	3	0	0	3	3
fold_4	Polymyxin#SPACE#B	16	4	2	10	10
fold_4	Enoxacin	4	2	0	2	1
fold_4	Bicyclomycin	17	3	1	13	12
fold_4	Metronidazole	39	8	2	29	29
fold_4	Sulfamethoxazole	32	11	5	16	16
fold_4	Norfloxacin	41	0	0	41	9
fold_4	Rifamycin#SPACE#SV	2	0	0	2	2
fold_4	Cefamandole	2	0	0	2	2
fold_4	Sulfamonomethoxine	2	0	0	2	2
fold_4	Streptomycin	7	2	1	4	3
fold_4	Fusidic#SPACE#acid	1	0	0	1	0
fold_4	Capreomycin	2	0	1	1	1
fold_4	Levofloxacin	12	1	0	11	11
fold_4	Ciprofloxacin	3	0	0	3	0
fold_4	Chlortetracycline	1	0	0	1	1
fold_4	Radicicol	3	0	1	2	2
fold_4	Puromycin	1	0	0	1	1
fold_4	Oxycarboxin	1	1	0	0	0
fold_4	Sulfadiazine	2	0	0	2	2
fold_4	Sulfanilamide	1	0	1	0	0
fold_4	Ofloxacin	1	1	0	0	0
fold_4	Penimepicycline	2	0	1	1	1
fold_4	Tylosin	1	0	1	0	0
fold_4	Cloxacillin	3	1	0	2	2
fold_4	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	0	0	1	1
fold_4	Furaltadone	2	1	0	1	1
fold_4	Tinidazole	2	1	1	0	0
fold_4	Sulfamethazine	2	1	0	1	1
fold_4	Hygromycin#SPACE#	1	0	0	1	1
fold_4	Cefmetazole	1	1	0	0	0
fold_4	Cefuroxime	1	0	1	0	0
fold_4	Moxalactam	1	0	0	1	1
fold_4	Phenethicillin	1	0	1	0	0
fold_4	Oleandomycin	1	0	0	1	1
fold_4	Apramycin	1	1	0	0	0
fold_4	Sisomicin	1	0	0	1	1
fold_4	Gentamicins	1	0	0	1	1
fold_4	Ornidazole	1	0	1	0	0
final	Thiolactomycin	24	1104		24	24
final	Novobiocin	37	1107		37	37
final	Neomycin	72	4464		72	72
final	Azithromycin	35	1104		35	35
final	Carbenicillin	27	1103		27	27
final	Cephradine	72	4504		72	72
final	Cerulenin	18	1103		18	18
final	Chloramphenicol	12	967		12	12
final	Clarythromycin	32	1103		32	32
final	Doxorubicin	7	1103		7	7
final	Doxycycline	62	1103		62	62
final	Mecillinam	59	1106		59	59
final	Minocycline	52	1103		52	52
final	Mitomycin#SPACE#C	31	1104		31	31
final	Oxacillin	27	1104		27	27
final	Streptonigrin	53	1103		53	53
final	Triclosan	23	1013		23	22
final	CHIR090	72	1103		72	72
final	Doxycycline#SPACE#hyclate	22	957		22	22
final	Lomefloxacin	53	960		53	53
final	Colistin	59	4508		59	59
final	Ampicillin	20	621		20	1
final	Trimethoprim	10	280		10	10
final	Fosfomycin	70	1107		70	70
final	Amoxicillin	51	1105		51	51
final	Spectinomycin	47	1130		47	47
final	Ceftazidime	52	1104		52	52
final	Cefsulodin	99	1106		95	95
final	Cefoxitin	14	691		14	3
final	Rifampin	12	582		12	0
final	Geneticin	5	4722		5	5
final	Paromomycin	5	4722		5	5
final	Troleandomycin	4	4722		4	4
final	Tetracycline	3	606		3	3
final	Bacitracin	51	1104		51	51
final	Dactinomycin	45	1104		45	45
final	Nigericin	4	1103		4	4
final	Phleomycin	32	1105		32	32
final	Tunicamycin	13	1103		13	13
final	Spiramycin	3	277		3	3
final	Vancomycin	13	955		13	13
final	Cefoperazone	1	478		1	1
final	Oxytetracycline	1	475		1	1
final	Rolitetracycline	1	475		1	1
final	Sulfachloropyridazine	1	475		1	1
final	Sulfathiazole	2	472		2	2
final	Sulfisoxazole	1	475		1	1
final	Cefazolin	1	479		1	1
final	Cephalothin	1	476		1	1
final	Nafcillin	1	475		1	1
final	Penicillin#SPACE#G	1	476		1	1
final	Kanamycin	97	947		97	48
final	Lincomycin	2	475		2	2
final	Dihydrostreptomycin	1	476		1	1
final	Josamycin	2	475		2	2
final	Hygromycin#SPACE#B	8	4722		8	8
final	Sulfamethizole	10	1103		10	10
final	Blasticidin#SPACE#S	2	475		2	2
final	Bleomycin	3	637		3	3
final	Polymyxin#SPACE#B	16	1107		16	16
final	Enoxacin	4	527		4	3
final	Bicyclomycin	17	1103		17	16
final	Metronidazole	39	974		39	39
final	Sulfamethoxazole	32	921		32	32
final	Norfloxacin	41	999		41	9
final	Rifamycin#SPACE#SV	2	4767		2	2
final	Cefamandole	2	4722		2	2
final	Sulfamonomethoxine	2	268		2	2
final	Streptomycin	7	659		7	6
final	Fusidic#SPACE#acid	1	479		1	0
final	Capreomycin	2	4722		2	2
final	Levofloxacin	12	1101		12	12
final	Ciprofloxacin	3	490		3	0
final	Chlortetracycline	1	4768		1	1
final	Radicicol	3	1103		3	3
final	Puromycin	1	255		1	1
final	Oxycarboxin	1	4722		1	1
final	Sulfadiazine	2	471		2	2
final	Sulfanilamide	1	4722		1	1
final	Ofloxacin	1	475		1	1
final	Penimepicycline	2	475		2	2
final	Tylosin	1	472		1	1
final	Cloxacillin	3	4766		3	3
final	5-Nitro-2-furaldehyde#SPACE#semicarbazone	1	475		1	1
final	Furaltadone	2	475		2	2
final	Tinidazole	2	475		2	2
final	Sulfamethazine	2	475		2	2
final	Hygromycin#SPACE#	1	4722		1	1
final	Cefmetazole	1	478		1	1
final	Cefuroxime	1	475		1	1
final	Moxalactam	1	475		1	1
final	Phenethicillin	1	475		1	1
final	Oleandomycin	1	475		1	1
final	Apramycin	1	478		1	1
final	Sisomicin	1	475		1	1
final	Gentamicins	1	655		1	1
final	Ornidazole	1	475		1	1
